sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T04	hifiasm_trio	haplotype1	h1tg000001l	36892755	maternal	paternal	43	5	450413	127365	chr1	211573798.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	37048557	paternal	maternal	5	6	127365	181225	chr1	211362546.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	37293052	maternal	paternal	6	30	181225	46020	chr1	211252427.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	81576819	paternal	maternal	5	10	47735	97818	chr1	166580612.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	116812202	maternal	paternal	1034	5	1447004	9728	chr1	131166754.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	119101604	maternal	paternal	980	12	1442336	38855	chr1	128830641.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	119161650	paternal	maternal	12	1296	38855	2033457	chr1	126760410.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	196521020	maternal	paternal	20	5	24389	3504	chr1	50859679.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	200135426	paternal	maternal	6	6	47947	112684	chr1	47107853.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	206143067	maternal	paternal	5	5	33784	40698	chr1	41127180.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	224602139	paternal	maternal	5	69	28459	38155	chr1	22530673.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	234068219	maternal	paternal	85	6	122784	33789	chr1	12997200.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000001l	234140550	paternal	maternal	6	7	33789	33411	chr1	12924701.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000002l	73675645	paternal	maternal	7	14	16072	148766	chr2	73588762.0	+
T2T04	hifiasm_trio	haplotype1	h1tg000002l	84956470	maternal	paternal	5	5	75754	27495	chr2	84857686.0	+
T2T04	hifiasm_trio	haplotype1	h1tg000002l	128615088	maternal	paternal	66	5	251009	16728	chr2	128470245.0	+
T2T04	hifiasm_trio	haplotype1	h1tg000002l	206171327	maternal	paternal	5	6	39024	57837	chr2	205944664.0	+
T2T04	hifiasm_trio	haplotype1	h1tg000002l	206259740	paternal	maternal	6	40	57837	261983	chr2	206032984.0	+
T2T04	hifiasm_trio	haplotype1	h1tg000003l	67608553	paternal	maternal	5	6	53880	205803	chr7	92853933.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	97420377	paternal	maternal	10	6	26285	766	chr7	63235312.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	97799447	paternal	maternal	5	6	4808	4122	chr7	62852733.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	97805114	maternal	paternal	6	6	4122	2106	chr7	62849081.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	97934862	paternal	maternal	10	5	27629	2920	chr7	62718466.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	98032664	maternal	paternal	7	6	2839	3522	chr7	62620023.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	98111887	maternal	paternal	8	5	8899	10276	chr7	62534012.0	-
T2T04	hifiasm_trio	haplotype1	h1tg000003l	98424800	paternal	maternal	14	5	27165	1021	chr7	62230232.0	-
