sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T00	verkko_porec	haplotype1	haplotype1-0000001	23221128	paternal	maternal	62	7	151128	131525	chr1	22794281.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	23364714	maternal	paternal	7	9	131525	95543	chr1	22937869.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	51879828	paternal	maternal	10	6	96320	110021	chr1	51453324.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	52022050	maternal	paternal	6	24	110021	112850	chr1	51595547.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	52794780	paternal	maternal	8	5	73282	48605	chr1	52368286.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	56855395	paternal	maternal	15	5	151777	65548	chr1	56428950.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	57029982	maternal	paternal	5	78	65548	220538	chr1	56603539.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	74538388	paternal	maternal	73	5	137497	2808	chr1	74112154.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	74543274	maternal	paternal	5	6	2808	9426	chr1	74117040.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	75697555	paternal	maternal	365	5	618412	360291	chr1	75271335.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	113391337	paternal	maternal	7	5	49263	18157	chr1	112965568.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	113435306	maternal	paternal	5	6	18157	31325	chr1	113009537.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	122976708	maternal	paternal	6	72	5258	43100	chr1	122551053.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	123700431	maternal	paternal	6	241	2925	166360	chr1	123274785.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	126921883	paternal	maternal	291	8	153122	4840	chr1	126496276.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	127007666	paternal	maternal	19	16	60815	13850	chr1	126582060.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	127021583	maternal	paternal	16	120	13850	130796	chr1	126595977.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	127351451	paternal	maternal	45	18	70362	49356	chr1	126925849.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	127407241	maternal	paternal	18	52	49356	76312	chr1	126981639.0	+
T2T00	verkko_porec	haplotype1	haplotype1-0000001	127490245	paternal	maternal	52	30	76312	63241	chr1	127064644.0	+
