#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3801	248384032	309886
syndip	chr2	0	3399	242693674	309175
syndip	chr3	0	2645	201088840	280194
syndip	chr4	0	3058	193572959	284004
syndip	chr5	0	2439	182043821	244530
syndip	chr6	0	2950	172123742	262786
syndip	chr7	0	3799	160563396	246738
syndip	chrX	0	84318	154256734	194889
syndip	chr9	0	3581	150613920	175290
syndip	chr8	0	2307	146253568	224652
syndip	chr11	0	12468	135125232	237038
syndip	chr10	0	2578	134691095	192707
syndip	chr12	0	2990	133322627	177186
syndip	chr13	0	4966933	113562868	141854
syndip	chr14	0	158133	101159610	183333
syndip	chr15	0	3307	99750524	188535
syndip	chr16	0	3518	96273763	145759
syndip	chr17	0	95524	84260114	146331
syndip	chr18	0	163992	80538565	124645
syndip	chr20	0	2656	66195821	126959
syndip	chr19	0	2149	61704023	115929
syndip	chr22	0	4599	51321869	126287
syndip	chr21	0	3033	45086155	94346
