sample	category	subcategory	sv_type	count	total_length	mean_length
NA19043	total	all_svs	all	67385	56585561	839.7352674927655
NA19043	sv_type	BND	BND	8	0	0.0
NA19043	sv_type	DEL	DEL	33885	28625970	844.7976980965029
NA19043	sv_type	DUP:TANDEM	DUP:TANDEM	30	46344	1544.8
NA19043	sv_type	INS	INS	33425	27913247	835.1008825729244
NA19043	sv_type	INV	INV	37	0	0.0
NA19043	zygosity	ALT_HOM	all	11999	0	0
NA19043	zygosity	HET	all	55386	0	0
NA19043	zygosity	ALT_HOM	BND	2	0	0
NA19043	zygosity	HET	BND	6	0	0
NA19043	zygosity	ALT_HOM	DEL	6369	0	0
NA19043	zygosity	HET	DEL	27516	0	0
NA19043	zygosity	HET	DUP:TANDEM	30	0	0
NA19043	zygosity	ALT_HOM	INS	5621	0	0
NA19043	zygosity	HET	INS	27804	0	0
NA19043	zygosity	ALT_HOM	INV	7	0	0
NA19043	zygosity	HET	INV	30	0	0
NA19043	size_class	large (500bp-5kb)	all	14009	0	0
NA19043	size_class	massive (>50kb)	all	159	0	0
NA19043	size_class	medium (50-500bp)	all	34904	0	0
NA19043	size_class	small (<50bp)	all	16886	0	0
NA19043	size_class	very_large (5kb-50kb)	all	1427	0	0
NA19043	size_class	small (<50bp)	BND	8	0	0
NA19043	size_class	large (500bp-5kb)	DEL	7454	0	0
NA19043	size_class	massive (>50kb)	DEL	61	0	0
NA19043	size_class	medium (50-500bp)	DEL	17231	0	0
NA19043	size_class	small (<50bp)	DEL	8329	0	0
NA19043	size_class	very_large (5kb-50kb)	DEL	810	0	0
NA19043	size_class	large (500bp-5kb)	DUP:TANDEM	22	0	0
NA19043	size_class	medium (50-500bp)	DUP:TANDEM	7	0	0
NA19043	size_class	very_large (5kb-50kb)	DUP:TANDEM	1	0	0
NA19043	size_class	large (500bp-5kb)	INS	6533	0	0
NA19043	size_class	massive (>50kb)	INS	98	0	0
NA19043	size_class	medium (50-500bp)	INS	17666	0	0
NA19043	size_class	small (<50bp)	INS	8512	0	0
NA19043	size_class	very_large (5kb-50kb)	INS	616	0	0
NA19043	size_class	small (<50bp)	INV	37	0	0
NA19043	haplotype	both	all	11999	0	0
NA19043	haplotype	haplotype1	all	27671	0	0
NA19043	haplotype	haplotype2	all	27715	0	0
NA19043	haplotype	both	BND	2	0	0
NA19043	haplotype	haplotype1	BND	6	0	0
NA19043	haplotype	both	DEL	6369	0	0
NA19043	haplotype	haplotype1	DEL	13687	0	0
NA19043	haplotype	haplotype2	DEL	13829	0	0
NA19043	haplotype	haplotype1	DUP:TANDEM	15	0	0
NA19043	haplotype	haplotype2	DUP:TANDEM	15	0	0
NA19043	haplotype	both	INS	5621	0	0
NA19043	haplotype	haplotype1	INS	13953	0	0
NA19043	haplotype	haplotype2	INS	13851	0	0
NA19043	haplotype	both	INV	7	0	0
NA19043	haplotype	haplotype1	INV	10	0	0
NA19043	haplotype	haplotype2	INV	20	0	0
NA19043	phasing	phased	all	67385	0	0
NA19043	chromosome	chr1	all	4920	0	0
NA19043	chromosome	chr2	all	3872	0	0
NA19043	chromosome	chr3	all	3959	0	0
NA19043	chromosome	chr4	all	2890	0	0
NA19043	chromosome	chr5	all	3110	0	0
NA19043	chromosome	chr6	all	2677	0	0
NA19043	chromosome	chr7	all	3093	0	0
NA19043	chromosome	chr8	all	3152	0	0
NA19043	chromosome	chr9	all	4982	0	0
NA19043	chromosome	chrX	all	1330	0	0
NA19043	chromosome	chrY	all	810	0	0
NA19043	chromosome	chr10	all	2911	0	0
NA19043	chromosome	chr11	all	2579	0	0
NA19043	chromosome	chr12	all	2516	0	0
NA19043	chromosome	chr13	all	2481	0	0
NA19043	chromosome	chr14	all	2367	0	0
NA19043	chromosome	chr15	all	3115	0	0
NA19043	chromosome	chr16	all	3097	0	0
NA19043	chromosome	chr17	all	2382	0	0
NA19043	chromosome	chr18	all	2091	0	0
NA19043	chromosome	chr19	all	2106	0	0
NA19043	chromosome	chr20	all	2210	0	0
NA19043	chromosome	chr21	all	2003	0	0
NA19043	chromosome	chr22	all	2732	0	0
NA19043	chromosome	chr1	DEL	2424	0	0
NA19043	chromosome	chr2	DEL	1968	0	0
NA19043	chromosome	chr3	DEL	2012	0	0
NA19043	chromosome	chr4	DEL	1350	0	0
NA19043	chromosome	chr5	DEL	1524	0	0
NA19043	chromosome	chr6	DEL	1265	0	0
NA19043	chromosome	chr7	DEL	1624	0	0
NA19043	chromosome	chr8	DEL	1553	0	0
NA19043	chromosome	chr9	DEL	2467	0	0
NA19043	chromosome	chrX	DEL	672	0	0
NA19043	chromosome	chrY	DEL	375	0	0
NA19043	chromosome	chr10	DEL	1427	0	0
NA19043	chromosome	chr11	DEL	1193	0	0
NA19043	chromosome	chr12	DEL	1284	0	0
NA19043	chromosome	chr13	DEL	1292	0	0
NA19043	chromosome	chr14	DEL	1167	0	0
NA19043	chromosome	chr15	DEL	1590	0	0
NA19043	chromosome	chr16	DEL	1645	0	0
NA19043	chromosome	chr17	DEL	1340	0	0
NA19043	chromosome	chr18	DEL	1088	0	0
NA19043	chromosome	chr19	DEL	1064	0	0
NA19043	chromosome	chr20	DEL	1213	0	0
NA19043	chromosome	chr21	DEL	1001	0	0
NA19043	chromosome	chr22	DEL	1347	0	0
NA19043	chromosome	chr1	INS	2493	0	0
NA19043	chromosome	chr2	INS	1899	0	0
NA19043	chromosome	chr3	INS	1943	0	0
NA19043	chromosome	chr4	INS	1538	0	0
NA19043	chromosome	chr5	INS	1582	0	0
NA19043	chromosome	chr6	INS	1406	0	0
NA19043	chromosome	chr7	INS	1467	0	0
NA19043	chromosome	chr8	INS	1596	0	0
NA19043	chromosome	chr9	INS	2512	0	0
NA19043	chromosome	chrX	INS	656	0	0
NA19043	chromosome	chrY	INS	434	0	0
NA19043	chromosome	chr10	INS	1476	0	0
NA19043	chromosome	chr11	INS	1383	0	0
NA19043	chromosome	chr12	INS	1230	0	0
NA19043	chromosome	chr13	INS	1186	0	0
NA19043	chromosome	chr14	INS	1197	0	0
NA19043	chromosome	chr15	INS	1524	0	0
NA19043	chromosome	chr16	INS	1448	0	0
NA19043	chromosome	chr17	INS	1038	0	0
NA19043	chromosome	chr18	INS	1000	0	0
NA19043	chromosome	chr19	INS	1040	0	0
NA19043	chromosome	chr20	INS	995	0	0
NA19043	chromosome	chr21	INS	999	0	0
NA19043	chromosome	chr22	INS	1383	0	0
