#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248293079	250766
syndip	chr2	0	3155	242694066	239684
syndip	chr3	0	2460	201101343	204738
syndip	chr4	0	3022	193490816	223802
syndip	chr5	0	1855	182044304	188987
syndip	chr6	0	8047	172124006	209827
syndip	chr7	0	3065	160565562	187607
syndip	chrX	0	5347	154256551	129419
syndip	chr9	0	3545	150614219	157309
syndip	chr8	0	2183	146242688	151037
syndip	chr11	0	1837	135125485	192576
syndip	chr10	0	3785	134655538	150060
syndip	chr12	0	10156	133322669	138025
syndip	chr13	0	4119301	113562614	110025
syndip	chr14	0	2510	101096809	140231
syndip	chr15	0	6215	99749463	161663
syndip	chr16	0	3666	96327872	129936
syndip	chr17	0	2260	84237411	97235
syndip	chr18	0	163949	80539281	94140
syndip	chr20	0	2374	66206087	84318
syndip	chr19	0	2210	61703957	86333
syndip	chr22	0	4721	51322042	115239
syndip	chr21	0	6131	45086599	85637
