contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
haplotype2-0000116	398688	haplotype2	chr7	398676	0	0	non_satellite
unassigned-0000800	92689	unassigned	chr7	92711	0	0	non_satellite
unassigned-0000994	114876	unassigned	chr21	43910	43910	1	satellite
unassigned-0000780	31147	unassigned	chr14	30980	30980	1	satellite
haplotype2-0000097	270319	haplotype2	chr16	2514118	262239	0.104307	non_satellite
haplotype2-0000098	469086	haplotype2	chr16	6992927	461431	0.0659854	non_satellite
unassigned-0000996	100931	unassigned	chr15	188924	94462	0.5	satellite
unassigned-0000782	211953	unassigned	chr14	802070	213389	0.266048	non_satellite
unassigned-0000556	67790	unassigned	chr21	71970	71970	1	satellite
unassigned-0000803	125799	unassigned	chr21	43910	43910	1	satellite
unassigned-0000329	63159	unassigned	chr16	63178	0	0	non_satellite
unassigned-0000997	81069	unassigned	chr15	161502	80751	0.5	satellite
unassigned-0000998	192974	unassigned	chrY	192920	192920	1	satellite
unassigned-0000784	171615	unassigned	chr22	47037	47037	1	satellite
unassigned-0000557	237973	unassigned	chr21	18891	18891	1	satellite
unassigned-0000570	130611	unassigned	chr21	43910	43910	1	satellite
unassigned-0000571	78121	unassigned	chr10	75436	0	0	non_satellite
unassigned-0000572	71015	unassigned	chr21	18900	18900	1	satellite
unassigned-0000807	73539	unassigned	chr10	73507	0	0	non_satellite
unassigned-0000809	142753	unassigned	chr21	17691	17691	1	satellite
unassigned-0000822	59764	unassigned	chr13	61192	61192	1	satellite
unassigned-0000575	114910	unassigned	chr13	114686	114686	1	satellite
unassigned-0000362	53367	unassigned	chr21	23102	23102	1	satellite
unassigned-0000576	84945	unassigned	chr21	60584	60584	1	satellite
unassigned-0000135	76703	unassigned	chr15	115609	69307	0.599495	satellite
unassigned-0000610	146257	unassigned	chr22	283344	141672	0.5	satellite
unassigned-0000363	103325	unassigned	chr21	20487	20487	1	satellite
unassigned-0000136	74711	unassigned	chr13	23187	23187	1	satellite
unassigned-0000591	88470	unassigned	chr3	88419	0	0	non_satellite
unassigned-0000611	65549	unassigned	chr10	65174	0	0	non_satellite
unassigned-0000579	198636	unassigned	chr7	195093	0	0	non_satellite
unassigned-0000592	77834	unassigned	chr21	55615	55615	1	satellite
unassigned-0000613	110805	unassigned	chr21	11085	11085	1	satellite
unassigned-0000152	127361	unassigned	chr2	127363	0	0	non_satellite
unassigned-0000840	237592	unassigned	chr17	16314	16314	1	satellite
unassigned-0000401	84142	unassigned	chr21	50910	50910	1	satellite
unassigned-0000155	217610	unassigned	chr22	24204	24204	1	satellite
unassigned-0001001	129136	unassigned	chr6	129149	0	0	non_satellite
unassigned-0000597	178862	unassigned	chr17	178881	0	0	non_satellite
