chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	88544491	88545991	N_region_windowed	1500	+	chr1	88764435	88836357	KYAT3	218445
chr1	167618862	167626365	N_region_windowed	7500	+	chr1	167215056	167427301	DCAF6	191562
chr1	213199414	213206920	N_region_windowed	7500	+	chr1	213588193	213791163	PTPN14	381274
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227898884	227899005	RNA5S1	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227901124	227901245	RNA5S1	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227903354	227903475	RNA5S2	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227905593	227905714	RNA5S1	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227907833	227907954	RNA5S1	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227910072	227910193	RNA5S3	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227912312	227912433	RNA5S1	0
chr1	227898110	227915295	N_region_windowed	17184	+	chr1	227914552	227914673	RNA5S2	0
chr11	72390316	72405177	N_region	7500	-	chr11	72176043	72177932	LOC220077	212385
chr14	1874524	1981550	N_region_windowed	100000	-	chr14	1881070	1881500	VN1R44P	0
chr14	1874524	1981550	N_region_windowed	100000	-	chr14	1902519	1903561	LOC105379281	0
chr14	1874524	1981550	N_region_windowed	100000	-	chr14	1909636	1953351	LOC102724701	0
chr15	2315492	2417385	N_region_windowed	100000	-	chr15	2318252	2359159	LOC102724219	0
chr15	2315492	2417385	N_region_windowed	100000	-	chr15	2399092	2400609	LOC100996362	0
chr15	2315492	2417385	N_region_windowed	100000	-	chr15	2409623	2414457	LOC100507395	0
chr15	7410389	7415782	N_region_windowed	7500	-	chr15	5380042	5387023	LOC105379557	2023367
chr16	16005385	16021922	N_region_windowed	16190	-	chr16	15954067	16147908	ABCC1	0
chr17	25421064	25422564	N_region_windowed	1500	+	chr17	23294639	23295244	LOC100419890	2125821
chr17	26016621	26065478	N_region_windowed	100000	-	chr17	27922280	27922871	LOC100422478	1856803
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38877194	38926423	LOC100420852	0
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38911439	38922351	TBC1D3	0
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38934185	38934293	YWHAEP6	0
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38938309	38950773	LOC102723608	0
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38959685	38959772	RNA5SP526	0
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38965105	38976940	TBC1D3K	0
chr17	38914271	38983309	N_region_windowed	100000	-	chr17	38976079	38976936	LOC102724956	0
chr17	45086453	45101155	N_region	7500	-	chr17	45029073	45039819	ASB16-AS1	46635
chr17	47211370	47218910	N_region_windowed	7500	+	chr17	47136193	47223769	ARL17B	0
chr20	26379048	26386404	N_region_windowed	7500	-	chr20	26253600	26255335	LOC124904967	123714
chr20	28690625	28692125	N_region_windowed	1500	-	chr20	29530702	29544804	FAM242A	838578
chr21	11236902	11281599	N_region_windowed	100000	-	chr21	11382460	11462603	ANKRD30BP2	100862
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5579085	5592433	RNA45S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5582745	5584614	RNA18S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5585682	5585839	RNA5-8S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5587007	5592072	RNA28S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5623698	5637016	RNA45S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5627358	5629227	RNA18S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5630293	5630450	RNA5-8S5	0
chr22	5582137	5645967	N_region_windowed	96314	-	chr22	5631618	5636657	RNA28S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5623698	5637016	RNA45S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5627358	5629227	RNA18S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5630293	5630450	RNA5-8S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5631618	5636657	RNA28S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5669000	5682337	RNA45S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5672658	5674527	RNA18S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5675594	5675751	RNA5-8S5	0
chr22	5625207	5711356	N_region_windowed	100000	-	chr22	5676919	5681978	RNA28S5	0
chr22	5853549	5945757	N_region_windowed	100000	-	chr22	5800957	5862417	MAFIP	0
chr22	29192039	29206627	N_region	7500	-	chr22	29149177	29203469	CHEK2	0
chr3	43378079	43385579	N_region	7500	-	chr3	43381159	43707182	ANO10	0
chr3	95971363	95976320	N_region_windowed	7500	-	chr3	95739422	95750144	LOC107984037	221220
chr4	50064150	50156061	N_region_windowed	100000	-	chr4	49436061	49453521	LOC107987323	610630
chr5	139630800	139638300	N_region_windowed	7500	+	chr5	139800175	139857743	MATR3	161876
chr5	151274457	151281958	N_region_windowed	7500	+	chr5	150589841	150649957	CSF1R	624501
chr6	42940246	43040223	N_region_windowed	100000	+	chr6	43164982	43198559	ZNF318	124760
chr7	39613929	39621421	N_region_windowed	7500	+	chr7	39723944	39769644	YAE1	102524
chr7	43795447	43799376	N_region_windowed	7500	-	chr7	44034203	44085026	URGCP	234828
chr7	60073578	60075078	N_region_windowed	1500	-	chr7	59939597	59940916	LOC101060796	132663
chr7	71887952	71895461	N_region_windowed	7500	+	chr7	70821257	72017159	AUTS2	0
chr7	83527345	83532543	N_region_windowed	5188	+	chr7	83840032	83842026	MTHFD2P5	307490
chr7	113680410	113687910	N_region_windowed	7500	+	chr7	113044414	113524706	DOCK4	155705
chr8	44796858	44837929	N_region_windowed	62530	-	chr8	43566548	43639364	POTEA	1157495
chr8	46306907	46313625	N_region_windowed	7500	-	chr8	47347032	47351102	MAPK6P4	1033408
chrX	113531218	113540465	N_region	9255	-	chrX	112992592	113318748	HTR2C	212471
chrX	113633382	113657668	N_region	1500	-	chrX	112992592	113318748	HTR2C	314635
chrY	1994539	2099333	N_region_windowed	100000	-	chrY	1894159	2177723	DHRSX	0
chrY	1994539	2099333	N_region_windowed	100000	-	chrY	1997271	2014329	LOC124905239	0
