chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	836433	836435	N_region	7500	+	chr1	884060	904534	ATAD3C	47626
chr1	1658185	1760910	N_region_windowed	100000	-	chr1	1663727	1746139	SKI	0
chr1	1843172	1906584	N_region	63250	-	chr1	1855530	1946621	PLCH2	0
chr1	130533267	130559870	N_region_windowed	7644	-	chr1	128946077	128947329	LINC02799	1585939
chr1	131672648	131766111	N_region_windowed	100000	-	chr1	128946077	128947329	LINC02799	2725320
chr1	132662883	132670383	N_region_windowed	7500	-	chr1	128946077	128947329	LINC02799	3715555
chr1	160184202	160190952	N_region_windowed	7500	-	chr1	160031924	160033311	LOC646347	150892
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223092772	223094410	LOC101928626	0
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223102361	223113459	LOC124903815	0
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223132903	223135498	SEPTIN14P15	0
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223132903	223135498	SEPTIN14P22	0
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223137347	223139182	CICP5	0
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223141054	223182396	GTF2IP20	0
chr1	223072330	223166094	N_region_windowed	100000	-	chr1	223165924	223166028	RNU6-1319P	0
chr12	103837977	103845477	N_region	7500	-	chr12	103927570	103950593	TDG	82094
chr14	3522554	3616560	N_region_windowed	100000	-	chr14	3500544	3507528	LOC105379557	15027
chr17	47069101	47069102	N_region	7500	+	chr17	46891534	47087028	KANSL1	0
chr17	47157861	47165356	N_region_windowed	7500	+	chr17	47110073	47199790	LRRC37A	0
chr17	47157861	47165356	N_region_windowed	7500	+	chr17	47136193	47223769	ARL17B	0
chr2	97220293	97227791	N_region_windowed	7500	+	chr2	97515059	97515616	LOC100421288	287269
chr20	965644	973144	N_region_windowed	7500	+	chr20	93229	93367	MIR1302-2	872278
chr22	6008891	6181469	N_region_windowed	100000	-	chr22	6180197	6180293	MIR1324	0
chr3	93307594	93365451	N_region_windowed	100000	+	chr3	91568650	91708493	LOC101930420	1599102
chr4	52392567	52400071	N_region_windowed	7500	+	chr4	49436061	49453521	LOC107987323	2939047
chr5	46812891	46818335	N_region_windowed	7500	-	chr5	43778979	43811059	PAIP1	3001833
chr5	70920215	70927706	N_region_windowed	7500	+	chr5	70908748	70909396	LOC107986345	10820
chrX	26984735	26991479	N_region_windowed	7500	-	chrX	26743654	26989002	LOC105373150	0
