contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000112	162766	unassigned	chr21	19218	19218	1	satellite
unassigned-0000092	278257	unassigned	chr17	218442	0	0	non_satellite
unassigned-0000113	141586	unassigned	chr21	23710	23710	1	satellite
unassigned-0000093	183363	unassigned	chr21	53778	53778	1	satellite
unassigned-0000328	231014	unassigned	chr22	450092	240632	0.534628	satellite
unassigned-0000094	161704	unassigned	chr21	56358	56358	1	satellite
unassigned-0000114	77743	unassigned	chr14	113868	74639	0.655487	satellite
unassigned-0000115	104391	unassigned	chr21	23176	23176	1	satellite
unassigned-0000095	117241	unassigned	chr21	26889	26889	1	satellite
unassigned-0000117	131969	unassigned	chr21	44894	44894	1	satellite
unassigned-0000571	151178	unassigned	chr14	300280	150140	0.5	satellite
unassigned-0000345	120059	unassigned	chr21	63346	63346	1	satellite
unassigned-0000131	63631	unassigned	chr21	17004	17004	1	satellite
unassigned-0000119	370555	unassigned	chr17	335415	0	0	non_satellite
unassigned-0000574	85417	unassigned	chr21	66748	66748	1	satellite
unassigned-0000134	85861	unassigned	chr21	17004	17004	1	satellite
unassigned-0000575	106130	unassigned	chr13	67155	67155	1	satellite
unassigned-0000576	71514	unassigned	chr21	56271	56271	1	satellite
unassigned-0000135	135368	unassigned	chr17	135368	0	0	non_satellite
unassigned-0000610	74976	unassigned	chr21	43910	43910	1	satellite
unassigned-0000577	149966	unassigned	chr13	166270	166270	1	satellite
unassigned-0000590	150551	unassigned	chr13	127006	127006	1	satellite
unassigned-0000591	354302	unassigned	chr21	1078963	334451	0.309974	non_satellite
unassigned-0000611	103871	unassigned	chr13	72007	72007	1	satellite
unassigned-0000579	82716	unassigned	chrX	82617	0	0	non_satellite
unassigned-0000612	61021	unassigned	chr21	36081	36081	1	satellite
unassigned-0000154	160422	unassigned	chr13	57073	57073	1	satellite
unassigned-0000381	52360	unassigned	chr1	52366	0	0	non_satellite
unassigned-0000616	64155	unassigned	chr21	64726	64726	1	satellite
unassigned-0000155	93036	unassigned	chr21	63132	63132	1	satellite
unassigned-0000369	2484064	unassigned	chr21	20515327	2124991	0.103581	non_satellite
unassigned-0000156	87094	unassigned	chr21	56271	56271	1	satellite
unassigned-0000597	69900	unassigned	chr13	40369	40369	1	satellite
unassigned-0000598	80820	unassigned	chr21	29437	29437	1	satellite
unassigned-0000404	106561	unassigned	chr21	23710	23710	1	satellite
unassigned-0000157	71219	unassigned	chr21	69269	69269	1	satellite
unassigned-0000158	127451	unassigned	chr17	92165	0	0	non_satellite
unassigned-0000405	144445	unassigned	chr1	144453	0	0	non_satellite
unassigned-0000599	148311	unassigned	chr13	177232	177232	1	satellite
unassigned-0000421	69516	unassigned	chr2	69403	0	0	non_satellite
unassigned-0000210	78689	unassigned	chr14	157560	78780	0.5	satellite
unassigned-0000190	95190	unassigned	chr13	73861	73861	1	satellite
unassigned-0000191	63340	unassigned	chr21	10270	10270	1	satellite
unassigned-0000212	67748	unassigned	chr14	135498	67749	0.5	satellite
unassigned-0000213	85358	unassigned	chr14	169958	84979	0.5	satellite
unassigned-0000429	127106	unassigned	chr14	836906	119558	0.142857	non_satellite
unassigned-0000216	118284	unassigned	chr11	118299	0	0	non_satellite
unassigned-0000447	134085	unassigned	chr14	129118	129118	1	satellite
