chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	678425	678426	haplotype1-0000030	275701	haplotype1	left_end	chr1	709442	723551	SCNN1D	31017
chr1	827030	827031	unassigned-0000450	132217	unassigned	left_end	chr1	884060	904534	ATAD3C	57030
chr1	836589	836590	haplotype2-0000082	121358	haplotype2	left_end	chr1	884060	904534	ATAD3C	47471
chr1	957632	957633	haplotype1-0000030	275701	haplotype1	right_end	chr1	946665	969189	ATAD3A	0
chr1	959218	959219	haplotype2-0000082	121358	haplotype2	right_end	chr1	946665	969189	ATAD3A	0
chr1	960521	960522	unassigned-0000450	132217	unassigned	right_end	chr1	946665	969189	ATAD3A	0
chr1	2105042	2105043	unassigned-0000484	154788	unassigned	left_end	chr1	2078229	2301463	TTC34	0
chr1	2121532	2121533	unassigned-0000485	117137	unassigned	left_end	chr1	2078229	2301463	TTC34	0
chr1	2231756	2231757	unassigned-0000485	117137	unassigned	right_end	chr1	2078229	2301463	TTC34	0
chr1	2237574	2237575	unassigned-0000484	154788	unassigned	right_end	chr1	2078229	2301463	TTC34	0
chr1	55749932	55749933	unassigned-0000381	52360	unassigned	left_end	chr1	55666959	55738222	LOC105378740	11711
chr1	55802297	55802298	unassigned-0000381	52360	unassigned	right_end	chr1	55666959	55738222	LOC105378740	64076
chr1	130531032	130531033	haplotype1-0000034	191046	haplotype1	left_end	chr1	128946077	128947329	LINC02799	1583704
chr1	130565213	130565214	haplotype1-0000046	209555	haplotype1	left_end	chr1	128946077	128947329	LINC02799	1617885
chr1	130907999	130908000	haplotype1-0000036	310800	haplotype1	left_end	chr1	128946077	128947329	LINC02799	1960671
chr1	130942320	130942321	haplotype1-0000035	137272	haplotype1	left_end	chr1	128946077	128947329	LINC02799	1994992
chr1	130948155	130948156	haplotype1-0000037	147556	haplotype1	left_end	chr1	128946077	128947329	LINC02799	2000827
chr1	131101877	131101878	haplotype1-0000035	137272	haplotype1	right_end	chr1	128946077	128947329	LINC02799	2154549
chr1	131117996	131117997	haplotype1-0000037	147556	haplotype1	right_end	chr1	128946077	128947329	LINC02799	2170668
chr1	131242184	131242185	haplotype1-0000036	310800	haplotype1	right_end	chr1	128946077	128947329	LINC02799	2294856
chr1	131252071	131252072	haplotype1-0000032	394864	haplotype1	left_end	chr1	128946077	128947329	LINC02799	2304743
chr1	131252071	131252072	haplotype1-0000033	368417	haplotype1	left_end	chr1	128946077	128947329	LINC02799	2304743
chr1	131252446	131252447	haplotype1-0000031	135815	haplotype1	left_end	chr1	128946077	128947329	LINC02799	2305118
chr1	131293419	131293420	haplotype1-0000042	456062	haplotype1	left_end	chr1	128946077	128947329	LINC02799	2346091
chr1	131395370	131395371	haplotype1-0000031	135815	haplotype1	right_end	chr1	128946077	128947329	LINC02799	2448042
chr1	131445658	131445659	haplotype1-0000038	279582	haplotype1	left_end	chr1	128946077	128947329	LINC02799	2498330
