contig	color
contig-0000001	#009E73	chr3
contig-0000002	#009E73	chr3
contig-0000003	#0072B2	chr5
contig-0000004	#009E73	chr3
contig-0000005	#009E73	chr3
contig-0000006	#009E73	chr3
contig-0000007	#009E73	chr3
contig-0000008	#009E73	chr3
contig-0000009	#009E73	chr3
contig-0000010	#56B4E9	chr2
contig-0000011	#56B4E9	chr2
contig-0000012	#009E73	chr3
contig-0000013	#56B4E9	chr2
contig-0000014	#56B4E9	chr2
contig-0000015	#56B4E9	chr2
contig-0000016	#666666	chr7
contig-0000017	#CC79A7	chr4
contig-0000018	#CC79A7	chr4
contig-0000019	#CC79A7	chr4
contig-0000020	#CC79A7	chr4
contig-0000021	#CC79A7	chr4
contig-0000022	#808080	chr21
contig-0000023	#009E73	chr3
contig-0000024	#1A7FBA	chr12
contig-0000025	#1A7FBA	chr12
contig-0000026	#1A7FBA	chr12
contig-0000027	#1A7FBA	chr12
contig-0000028	#1A7FBA	chr12
contig-0000029	#D55E00	chr6
contig-0000030	#E69F00	chr1
contig-0000031	#CC79A7	chr4
contig-0000032	#CC79A7	chr4
contig-0000033	#CC79A7	chr4
contig-0000034	#CC79A7	chr4
contig-0000035	#CC79A7	chr4
contig-0000036	#00A880	chr10
contig-0000037	#00A880	chr10
contig-0000038	#00A880	chr10
contig-0000039	#E6AB23	chr8
contig-0000040	#E6AB23	chr8
contig-0000041	#E69F00	chr1
contig-0000042	#E6AB23	chr8
contig-0000043	#E6AB23	chr8
contig-0000044	#E6AB23	chr8
contig-0000045	#5699E9	chr9
contig-0000046	#5699E9	chr9
contig-0000047	#5699E9	chr9
contig-0000048	#5699E9	chr9
contig-0000049	#5699E9	chr9
contig-0000050	#737373	chr14
contig-0000051	#737373	chr14
contig-0000052	#737373	chr14
contig-0000053	#737373	chr14
contig-0000054	#737373	chr14
contig-0000056	#D57533	chr13
contig-0000057	#D57533	chr13
contig-0000058	#D57533	chr13
contig-0000059	#0072B2	chr5
contig-0000060	#0072B2	chr5
contig-0000061	#0072B2	chr5
contig-0000062	#E69F00	chr1
contig-0000063	#00B28C	chr17
contig-0000064	#00B28C	chr17
contig-0000065	#00B28C	chr17
contig-0000066	#00B28C	chr17
contig-0000067	#00B28C	chr17
contig-0000068	#808080	chr21
contig-0000069	#808080	chr21
contig-0000070	#808080	chr21
contig-0000071	#808080	chr21
contig-0000072	#808080	chr21
contig-0000073	#5699E9	chr9
contig-0000074	#5699E9	chr9
contig-0000075	#5699E9	chr9
contig-0000076	#5699E9	chr9
contig-0000077	#5699E9	chr9
contig-0000078	#567DE9	chr16
contig-0000079	#567DE9	chr16
contig-0000080	#CC8DB3	chr11
contig-0000081	#567DE9	chr16
contig-0000082	#56B4E9	chr2
contig-0000083	#56B4E9	chr2
contig-0000084	#56B4E9	chr2
contig-0000085	#56B4E9	chr2
contig-0000086	#56B4E9	chr2
contig-0000087	#56B4E9	chr2
contig-0000088	#56B4E9	chr2
contig-0000089	#56B4E9	chr2
contig-0000090	#D55E00	chr6
contig-0000091	#CC8DB3	chr11
contig-0000092	#D55E00	chr6
contig-0000093	#D55E00	chr6
contig-0000094	#D55E00	chr6
contig-0000095	#D55E00	chr6
contig-0000096	#CC8DB3	chr11
contig-0000097	#CC8DB3	chr11
contig-0000098	#CCA0BF	chr18
contig-0000099	#CCA0BF	chr18
contig-0000100	#CCA0BF	chr18
contig-0000101	#0072B2	chr5
contig-0000102	#CC8DB3	chr11
contig-0000103	#CCA0BF	chr18
contig-0000104	#00B28C	chr17
contig-0000105	#00B28C	chr17
contig-0000106	#00B28C	chr17
contig-0000107	#00B28C	chr17
contig-0000108	#00B28C	chr17
contig-0000109	#009E73	chr3
contig-0000110	#666666	chr7
contig-0000111	#666666	chr7
contig-0000112	#CC8DB3	chr11
contig-0000113	#666666	chr7
contig-0000114	#0072B2	chr5
contig-0000115	#E6AB23	chr8
contig-0000116	#E6AB23	chr8
contig-0000117	#E6AB23	chr8
contig-0000118	#0072B2	chr5
contig-0000119	#0072B2	chr5
contig-0000120	#0072B2	chr5
contig-0000121	#CC8DB3	chr11
contig-0000122	#0072B2	chr5
contig-0000123	#0072B2	chr5
contig-0000124	#338CC2	chr19
