contig	color
contig-0000001	#D57533	chr13
contig-0000002	#D57533	chr13
contig-0000003	#D55E00	chr6
contig-0000004	#E6B847	chr15
contig-0000005	#737373	chr14
contig-0000006	#D57533	chr13
contig-0000007	#D57533	chr13
contig-0000008	#D57533	chr13
contig-0000009	#D57533	chr13
contig-0000010	#E6B847	chr15
contig-0000011	#737373	chr14
contig-0000012	#D57533	chr13
contig-0000013	#D55E00	chr6
contig-0000014	#00B28C	chr17
contig-0000015	#D57533	chr13
contig-0000016	#D57533	chr13
contig-0000017	#808080	chr21
contig-0000021	#E69F00	chr1
contig-0000023	#D55E00	chr6
contig-0000024	#D57533	chr13
contig-0000025	#808080	chr21
contig-0000026	#D57533	chr13
contig-0000028	#00B28C	chr17
contig-0000029	#00B28C	chr17
contig-0000030	#E6C47F	chr22
contig-0000031	#E6B847	chr15
contig-0000032	#737373	chr14
contig-0000036	#E6AB23	chr8
contig-0000037	#808080	chr21
contig-0000038	#737373	chr14
contig-0000039	#E6B847	chr15
contig-0000040	#D57533	chr13
contig-0000041	#808080	chr21
contig-0000042	#E6B847	chr15
contig-0000043	#737373	chr14
contig-0000044	#D58C66	chr20
contig-0000046	#E69F00	chr1
contig-0000047	#E69F00	chr1
contig-0000048	#E69F00	chr1
contig-0000049	#E69F00	chr1
contig-0000050	#737373	chr14
contig-0000051	#E6C47F	chr22
contig-0000052	#338CC2	chr19
contig-0000053	#00B28C	chr17
contig-0000054	#CC8DB3	chr11
contig-0000055	#737373	chr14
contig-0000056	#CC8DB3	chr11
contig-0000057	#CC8DB3	chr11
contig-0000058	#CC8DB3	chr11
contig-0000059	#CC8DB3	chr11
contig-0000061	#D57533	chr13
contig-0000062	#D57533	chr13
contig-0000063	#D57533	chr13
contig-0000064	#D57533	chr13
contig-0000065	#808080	chr21
contig-0000066	#737373	chr14
contig-0000067	#808080	chr21
contig-0000068	#808080	chr21
contig-0000070	#D57533	chr13
contig-0000071	#D57533	chr13
contig-0000072	#D57533	chr13
contig-0000073	#E6C47F	chr22
contig-0000074	#5699E9	chr9
contig-0000075	#5699E9	chr9
contig-0000076	#5699E9	chr9
contig-0000077	#CC79A7	chr4
contig-0000078	#E69F00	chr1
contig-0000079	#E69F00	chr1
contig-0000080	#E69F00	chr1
contig-0000081	#338CC2	chr19
contig-0000082	#338CC2	chr19
contig-0000083	#CC79A7	chr4
contig-0000084	#E6C47F	chr22
contig-0000086	#E69F00	chr1
contig-0000087	#E69F00	chr1
contig-0000088	#E69F00	chr1
contig-0000089	#E69F00	chr1
contig-0000090	#E69F00	chr1
contig-0000091	#CC79A7	chr4
contig-0000092	#E69F00	chr1
contig-0000093	#E69F00	chr1
contig-0000094	#E69F00	chr1
contig-0000095	#00A880	chr10
contig-0000096	#00A880	chr10
contig-0000097	#00A880	chr10
contig-0000098	#00A880	chr10
contig-0000100	#808080	chr21
contig-0000101	#808080	chr21
contig-0000102	#808080	chr21
contig-0000103	#E6C47F	chr22
contig-0000104	#808080	chr21
contig-0000105	#808080	chr21
contig-0000106	#E6C47F	chr22
contig-0000107	#808080	chr21
contig-0000108	#737373	chr14
contig-0000109	#808080	chr21
