#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384169	235232
syndip	chr2	0	3343	242694019	229802
syndip	chr3	0	2357	201088840	223041
syndip	chr4	0	20748	193514108	224052
syndip	chr5	0	2125	182043943	179570
syndip	chr6	0	3417	172124000	204724
syndip	chr7	0	3799	160564597	193842
syndip	chrX	0	59119	154256936	130597
syndip	chr9	0	3623	150615508	165787
syndip	chr8	0	1949	146247623	161465
syndip	chr11	0	2700	135125266	181329
syndip	chr10	0	2904	134754097	143091
syndip	chr12	0	3059	133322148	139331
syndip	chr13	0	36402	113562313	109199
syndip	chr14	0	45106	101160003	151333
syndip	chr15	0	6217	99750253	170365
syndip	chr16	0	2565	96327565	119771
syndip	chr17	0	2260	84273669	106682
syndip	chr18	0	164002	80538932	94362
syndip	chr20	0	2508	66206697	91243
syndip	chr19	0	2685	61704689	92648
syndip	chr22	0	3025460	51321978	103558
syndip	chr21	0	2738	45086155	75280
