#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384169	244823
syndip	chr2	0	3343	242694019	239709
syndip	chr3	0	2357	201088840	233095
syndip	chr4	0	3392	193514108	231195
syndip	chr5	0	2125	182043943	186460
syndip	chr6	0	3417	172124000	211219
syndip	chr7	0	3936	160564597	200503
syndip	chrX	0	59119	154256936	132301
syndip	chr9	0	3623	150615508	170159
syndip	chr8	0	1949	146252617	168533
syndip	chr11	0	2700	135125266	187109
syndip	chr10	0	2904	134689862	149134
syndip	chr12	0	3059	133322148	145641
syndip	chr13	0	36402	113562313	112722
syndip	chr14	0	45106	101160003	156241
syndip	chr15	0	6217	99750253	178180
syndip	chr16	0	2565	96327565	123953
syndip	chr17	0	2260	84273669	116630
syndip	chr18	0	164124	80538932	96298
syndip	chr20	0	2508	66206697	95255
syndip	chr19	0	3379	61704689	97344
syndip	chr22	0	3025460	51322042	106862
syndip	chr21	0	2738	45086155	61729
