sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T04_hifiasm_trio	h1tg000001l	chr1	250992022	0	248387328	250992022	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000019l	chr10	134280576	0	134758134	134280576	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000007l	chr11	135038750	0	135127769	135038750	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000011l	chr12	134671279	100	133324548	134671279	1	100	100.0	100	100	0.01	scaffold
T2T04_hifiasm_trio	h1tg000012l	chr16	92309894	0	96330374	92309894	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000020l	chr17	84741234	100	84276897	84741234	1	100	100.0	100	100	0.01	scaffold
T2T04_hifiasm_trio	h1tg000005l	chr18	79999771	0	80542538	79999771	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000017l	chr19	62432899	0	61707364	62432899	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000002l	chr2	242215926	25170	242696752	242215926	1	25170	25170.0	25170	25170	0.0	scaffold
T2T04_hifiasm_trio	h1tg000009l	chr20	65529117	0	66210255	65529117	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000018l	chr21	42622280	0	45090682	42622280	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000008l	chr3	202915008	0	201105948	202915008	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000004l	chr4	193722134	0	193574945	193722134	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000010l	chr5	184946013	0	182045439	184946013	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000013l	chr6	172325599	0	172126628	172325599	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000025l	chr8	145979360	0	146259331	145979360	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000006l	chr9	133705735	0	150617247	133705735	0	0	0.0	0	0	0.0	contig
T2T04_hifiasm_trio	h1tg000022l	chrX	154346756	0	154259566	154346756	0	0	0.0	0	0	0.0	contig
