Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	122.33825999999999	0	185	0	3	0	185	0	197	0
chr10	Paternal	Maternal	1.0	71.9956	0	136	0	2	0	136	0	136	0
chr11	Paternal	Maternal	1.0	522.99208	0	713	0	7	0	713	0	733	0
chr12	Paternal	Maternal	1.0	38.586310000000005	0	106	0	4	0	106	0	186	0
chr13	Maternal	Paternal	1.0	175.89902	0	264	0	4	0	264	0	348	0
chr14	Maternal	Paternal	1.0	291.81539	0	470	0	5	0	470	0	538	0
chr15	Paternal	Maternal	0.9994	520.9160899999999	0.31163	988	1	31	0	989	0	1500	0
chr16	Maternal	Paternal	1.0	197.50574	0	420	0	7	0	420	0	578	0
chr17	Maternal	Paternal	1.0	24.553749999999997	0	65	0	1	0	65	0	139	0
chr18	Paternal	Maternal	0.97764	111.594	2.5528500000000003	189	15	2	1	189	15	190	42
chr19	Paternal	Maternal	1.0	446.7180900000001	0	649	0	9	0	649	0	732	0
chr2	Paternal	Maternal	0.95374	365.1821	17.7147	627	81	7	1	627	81	693	91
chr20	Paternal	Maternal	0.99532	917.14045	4.31488	1122	16	6	1	1122	16	1234	25
chr21	Paternal	Maternal	1.0	42.65111999999999	0	100	0	2	0	100	0	112	0
chr22	Paternal	Maternal	1.0	64.84179	0	93	0	2	0	93	0	104	0
chr3	Maternal	Paternal	1.0	27.73087	0	83	0	2	0	83	0	85	0
chr4	Maternal	Paternal	1.0	143.63355	0	272	0	5	0	272	0	297	0
chr5	Maternal	Paternal	0.78354	69.42119	19.1777	104	85	2	2	104	85	108	171
chr6	Paternal	Maternal	1.0	292.9518	0	416	0	4	0	416	0	424	0
chr7	Maternal	Paternal	1.0	588.42724	0	766	0	8	0	766	0	843	0
chr8	Maternal	Paternal	0.93795	284.41237	18.8138	460	76	6	1	460	76	541	77
chr9	Paternal	Maternal	0.605	77.73172	50.75093	145	167	2	2	145	167	145	176
