contig	color
contig-0000001	#E6B847	chr15
contig-0000002	#E6B847	chr15
contig-0000003	#808080	chr21
contig-0000004	#E6C47F	chr22
contig-0000005	#808080	chr21
contig-0000006	#808080	chr21
contig-0000007	#808080	chr21
contig-0000008	#808080	chr21
contig-0000009	#E6C47F	chr22
contig-0000010	#808080	chr21
contig-0000011	#808080	chr21
contig-0000012	#808080	chr21
contig-0000013	#E6C47F	chr22
contig-0000014	#D57533	chr13
contig-0000015	#808080	chr21
contig-0000016	#808080	chr21
contig-0000017	#808080	chr21
contig-0000018	#808080	chr21
contig-0000019	#E6C47F	chr22
contig-0000020	#808080	chr21
contig-0000021	#808080	chr21
contig-0000022	#808080	chr21
contig-0000023	#E6C47F	chr22
contig-0000024	#808080	chr21
contig-0000025	#808080	chr21
contig-0000026	#808080	chr21
contig-0000027	#808080	chr21
contig-0000028	#E6B847	chr15
contig-0000029	#808080	chr21
contig-0000030	#E6C47F	chr22
contig-0000031	#567DE9	chr16
contig-0000032	#5699E9	chr9
contig-0000033	#D55E00	chr6
contig-0000035	#737373	chr14
contig-0000036	#737373	chr14
contig-0000037	#737373	chr14
contig-0000038	#737373	chr14
contig-0000039	#CC79A7	chr4
contig-0000040	#567DE9	chr16
contig-0000041	#808080	chr21
contig-0000042	#9467BD	chrX
contig-0000043	#9467BD	chrX
contig-0000044	#9467BD	chrX
contig-0000045	#0072B2	chr5
contig-0000046	#D57533	chr13
contig-0000047	#666666	chr7
contig-0000048	#9467BD	chrX
contig-0000049	#9467BD	chrX
contig-0000050	#9467BD	chrX
contig-0000051	#00B28C	chr17
contig-0000052	#567DE9	chr16
contig-0000053	#737373	chr14
contig-0000054	#56B4E9	chr2
contig-0000055	#56B4E9	chr2
contig-0000056	#D58C66	chr20
contig-0000057	#D58C66	chr20
contig-0000058	#D58C66	chr20
contig-0000059	#808080	chr21
contig-0000060	#D57533	chr13
contig-0000062	#E69F00	chr1
contig-0000063	#E6C47F	chr22
contig-0000064	#E6C47F	chr22
contig-0000065	#E6C47F	chr22
contig-0000066	#E6C47F	chr22
contig-0000067	#5699E9	chr9
contig-0000069	#00B28C	chr17
contig-0000070	#D57533	chr13
contig-0000071	#808080	chr21
contig-0000072	#808080	chr21
contig-0000073	#D57533	chr13
contig-0000074	#E6B847	chr15
contig-0000075	#D57533	chr13
contig-0000076	#808080	chr21
contig-0000077	#00B28C	chr17
contig-0000079	#E6B847	chr15
contig-0000080	#D57533	chr13
contig-0000081	#D57533	chr13
contig-0000082	#737373	chr14
contig-0000083	#D55E00	chr6
contig-0000084	#D55E00	chr6
contig-0000085	#D55E00	chr6
contig-0000086	#E6B847	chr15
contig-0000087	#D57533	chr13
contig-0000088	#E6C47F	chr22
contig-0000089	#D57533	chr13
contig-0000090	#D57533	chr13
contig-0000091	#737373	chr14
