sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T00_hifiasm_herro	h2tg000017l	chr11	139419829	300	135127769	139419829	3	300	100.0	100	100	0.02	scaffold
T2T00_hifiasm_herro	h2tg000013l	chr12	133649089	0	133324548	133649089	0	0	0.0	0	0	0.0	contig
T2T00_hifiasm_herro	h2tg000014l	chr14	102257431	0	101161492	102257431	0	0	0.0	0	0	0.0	contig
T2T00_hifiasm_herro	h2tg000010l	chr16	92252383	0	96330374	92252383	0	0	0.0	0	0	0.0	contig
T2T00_hifiasm_herro	h2tg000025l	chr17	85255751	1708196	84276897	85255751	6	1708196	284699.3	562272	100	0.07	scaffold
T2T00_hifiasm_herro	h2tg000004l	chr18	79435073	231991	80542538	79435073	2	231991	115995.5	231891	100	0.03	scaffold
T2T00_hifiasm_herro	h2tg000023l	chr5	183029518	0	182045439	183029518	0	0	0.0	0	0	0.0	contig
T2T00_hifiasm_herro	h2tg000024l	chr6	173650754	614795	172126628	173650754	6	614795	102465.8	614295	100	0.03	scaffold
T2T00_hifiasm_herro	h2tg000011l	chr9	139237793	700	150617247	139237793	7	700	100.0	100	100	0.05	scaffold
T2T00_hifiasm_herro	h2tg000027l	chrY	52706904	0	62460029	52706904	0	0	0.0	0	0	0.0	contig
