#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	240783
syndip	chr2	0	3399	242694066	237775
syndip	chr3	0	2460	201101343	206553
syndip	chr4	0	3022	193490816	221745
syndip	chr5	0	1855	182044304	183122
syndip	chr6	0	8047	172124006	204350
syndip	chr7	0	3200	160564989	192224
syndip	chrX	0	5347	154256551	128607
syndip	chr9	0	3545	150614219	157058
syndip	chr8	0	2183	146242688	150507
syndip	chr11	0	1837	135125485	191052
syndip	chr10	0	3727	134723423	150431
syndip	chr12	0	3019	133322669	138465
syndip	chr13	0	4119301	113563195	109745
syndip	chr14	0	2510	101159346	156730
syndip	chr15	0	6091	99749463	161913
syndip	chr16	0	3666	96327872	129777
syndip	chr17	0	2260	84237411	93717
syndip	chr18	0	163949	80539281	94185
syndip	chr20	0	91692	66203987	85943
syndip	chr19	0	2210	61703723	86212
syndip	chr22	0	4721	51322042	114338
syndip	chr21	0	5827	45086599	78215
