Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.48186	0.4719	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.55828	0.54825	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	8	0	0.29445	0.40809	0.70032	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	0	0	0	0	0.2333	0.34388	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	41	0	0.34197	0.63842	0.93556	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	130	0	0.67888	0.23558	0.8859	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	15	0	0.20143	0.73239	0.93382	Included
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.95984	0.96176	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	0	0	0	0.51611	0.62913	Ignored:DidNotMeet_cpg_difference
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	72	0	0.41659	0.39826	0.81486	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.75943	0.70856	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.53141	0.44213	0.97354	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	0	0	0	0.08383	0.14934	Ignored:DidNotMeet_cpg_difference
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	0	243	0	0.84682	0.1143	0.93853	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	0	63	0	0.56913	0.3146	0.84731	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	0	100	0	0.53294	0.2126	0.74555	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	204	198	0	0.91623	0	0.9727	0.07872	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	55	0	0.59197	0	0.9506	0.35862	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.56935	0.44428	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	45	0	0.41196	0	0.82545	0.41349	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	0	81	0	0.38639	0.11045	0.48702	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.40551	0.51687	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	9	0	0	0	0	0.64479	0.63949	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	1	0	0.19192	0	0.27567	0.13266	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	0	126	0	0.72869	0.10209	0.75818	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	0	21	0	0.34644	0.59216	0.93859	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.79617	0.81544	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	39	0	0	0	0	0.73738	0.8589	Ignored:DidNotMeet_cpg_difference
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.44127	0.31238	Ignored:DidNotMeet_cpg_difference
