Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	107.65222000000001	0	194	0	4	0	194	0	212	0
chr10	Paternal	Maternal	1.0	64.00472	0	136	0	2	0	136	0	136	0
chr11	Maternal	Paternal	1.0	527.43654	0	704	0	6	0	704	0	722	0
chr12	Paternal	Maternal	1.0	130.38777	0	228	0	3	0	228	0	249	0
chr13	Paternal	Maternal	1.0	183.87185000000002	0	257	0	3	0	257	0	326	0
chr14	Paternal	Maternal	1.0	278.87952	0	484	0	5	0	484	0	535	0
chr15	Paternal	Maternal	0.99935	534.54	0.34838	984	1	33	0	985	0	1546	0
chr16	Paternal	Maternal	1.0	193.50012	0	424	0	7	0	424	0	579	0
chr17	Paternal	Maternal	1.0	15.71046	0	58	0	1	0	58	0	139	0
chr18	Paternal	Maternal	1.0	120.07038	0	188	0	2	0	188	0	190	0
chr19	Paternal	Maternal	1.0	444.37680000000006	0	575	0	8	0	575	0	656	0
chr2	Maternal	Paternal	1.0	416.97418	0	681	0	7	0	681	0	688	0
chr20	Maternal	Paternal	1.0	963.6533600000001	0	1254	0	9	0	1254	0	1403	0
chr21	Maternal	Paternal	1.0	56.450610000000005	0	111	0	2	0	111	0	112	0
chr22	Paternal	Maternal	1.0	54.70052999999999	0	71	0	1	0	71	0	82	0
chr3	Maternal	Paternal	1.0	33.50739	0	84	0	2	0	84	0	85	0
chr4	Paternal	Maternal	1.0	140.31158000000002	0	290	0	5	0	290	0	297	0
chr5	Paternal	Maternal	1.0	82.82759	0	136	0	3	0	136	0	143	0
chr6	Paternal	Maternal	1.0	358.71160999999995	0	482	0	5	0	482	0	493	0
chr7	Maternal	Paternal	1.0	584.8070999999999	0	798	0	8	0	798	0	844	0
chr8	Paternal	Maternal	1.0	291.02247	0	557	0	9	0	557	0	692	0
chr9	Paternal	Maternal	0.9464	66.25784	3.7528500000000005	170	15	2	1	170	15	176	22
