Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	113.94293	0	178	0	3	0	178	0	197	0
chr10	Maternal	Paternal	1.0	85.66365	0	182	0	4	0	182	0	187	0
chr11	Paternal	Maternal	1.0	464.72168999999997	0	649	0	6	0	649	0	688	0
chr12	Maternal	Paternal	0.93838	186.01967	12.21597	263	39	5	1	263	39	263	39
chr13	Paternal	Maternal	0.95707	211.15784999999997	9.4705	275	25	3	1	275	25	326	25
chr14	Maternal	Paternal	1.0	288.16739	0	495	0	6	0	495	0	556	0
chr15	Maternal	Paternal	0.99643	577.12439	2.06761	1059	5	33	0	1064	0	1908	0
chr16	Paternal	Maternal	1.0	224.26155999999997	0	365	0	5	0	365	0	513	0
chr17	Maternal	Paternal	1.0	46.71702	0	119	0	1	0	119	0	139	0
chr18	Maternal	Paternal	1.0	146.52211	0	255	0	4	0	255	0	255	0
chr19	Maternal	Paternal	1.0	520.66702	0	690	0	9	0	690	0	733	0
chr2	Paternal	Maternal	1.0	377.85913999999997	0	624	0	7	0	624	0	676	0
chr20	Maternal	Paternal	0.99939	1028.3085600000002	0.62718	1271	3	8	1	1271	3	1381	25
chr21	Maternal	Paternal	1.0	83.2565	0	112	0	2	0	112	0	113	0
chr22	Paternal	Maternal	0.70643	38.6435	16.059	70	50	1	1	70	50	82	64
chr3	Paternal	Maternal	1.0	6.94824	0	24	0	1	0	24	0	28	0
chr4	Maternal	Paternal	1.0	170.75680999999997	0	289	0	5	0	289	0	297	0
chr5	Paternal	Maternal	0.55363	23.9589	19.31692	35	69	1	2	35	69	35	94
chr6	Paternal	Maternal	1.0	330.14176000000003	0	468	0	5	0	468	0	491	0
chr7	Maternal	Paternal	0.9947	629.37463	3.35344	794	16	8	1	794	16	843	16
chr8	Maternal	Paternal	1.0	278.93821	0	374	0	6	0	374	0	445	0
chr9	Paternal	Maternal	0.56605	73.96148	56.700320000000005	174	85	2	2	174	85	176	85
