sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
TUE_02_05UL	haplotype2-0000057	chr1	247178934	1500	248387328	247178934	1	1500	1500.0	1500	1500	0.0	scaffold
TUE_02_05UL	haplotype2-0000052	chr10	136481718	0	134758134	136481718	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000066	chr12	133651388	0	133324548	133651388	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000062	chr14	102011147	100000	101161492	102011147	1	100000	100000.0	100000	100000	0.01	scaffold
TUE_02_05UL	haplotype2-0000051	chr16	92812901	0	96330374	92812901	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000048	chr17	84048758	0	84276897	84048758	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000053	chr18	79951943	0	80542538	79951943	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000064	chr19	62447447	0	61707364	62447447	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000061	chr2	242536068	0	242696752	242536068	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000055	chr20	65609910	0	66210255	65609910	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000047	chr22	49713508	100000	51324926	49713508	1	100000	100000.0	100000	100000	0.02	scaffold
TUE_02_05UL	haplotype2-0000056	chr3	200624005	0	201105948	200624005	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000059	chr4	191661356	7500	193574945	191661356	1	7500	7500.0	7500	7500	0.01	scaffold
TUE_02_05UL	haplotype2-0000054	chr5	182048408	0	182045439	182048408	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000046	chr6	172881271	0	172126628	172881271	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000063	chr7	159505510	7500	160567428	159505510	1	7500	7500.0	7500	7500	0.01	scaffold
TUE_02_05UL	haplotype2-0000050	chr8	145925427	0	146259331	145925427	0	0	0.0	0	0	0.0	contig
TUE_02_05UL	haplotype2-0000068	chr9	138890814	49302	150617247	138890814	8	49302	6162.8	38802	1500	0.06	scaffold
TUE_02_05UL	haplotype2-0000067	chrX	154386495	100000	154259566	154386495	1	100000	100000.0	100000	100000	0.01	scaffold
