#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3197	248384169	224807
syndip	chr2	0	3233	242693266	215474
syndip	chr3	0	2413	201088028	211849
syndip	chr4	0	26975	193490816	207283
syndip	chr5	0	2164	182043960	164307
syndip	chr6	0	2950	172123968	194604
syndip	chr7	0	3005	160565360	183218
syndip	chrX	0	2814	154255808	139862
syndip	chr9	0	4682	150577120	140208
syndip	chr8	0	9005	146257182	149094
syndip	chr11	0	129133	135125229	181329
syndip	chr10	0	24276	134670938	140242
syndip	chr12	0	2913	133322148	126496
syndip	chr13	0	5404678	113563403	109472
syndip	chr14	0	644317	101159918	151520
syndip	chr15	0	6091	99747382	152106
syndip	chr16	0	3665	96326738	126112
syndip	chr17	0	2852	84273248	102131
syndip	chr18	0	164124	80522102	95620
syndip	chr20	0	3913	66207507	77467
syndip	chr19	0	2071	61703957	98359
syndip	chr22	0	4614	51322042	122358
syndip	chr21	0	3048	45085078	71405
