#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3416	248382165	237724
syndip	chr2	0	3155	242694307	239706
syndip	chr3	0	2645	201088028	222183
syndip	chr4	0	20138	193543086	225220
syndip	chr5	0	2216	182044098	184183
syndip	chr6	0	2950	172122265	206366
syndip	chr7	0	3375	160565444	188659
syndip	chrX	0	109008	154257371	121728
syndip	chr9	0	9425	150615024	159148
syndip	chr8	0	2015	146256972	166591
syndip	chr11	0	76207	135125229	195484
syndip	chr10	0	2457	134618249	148108
syndip	chr12	0	3019	133322411	142037
syndip	chr13	0	88	113563736	125649
syndip	chr14	0	6029	101159236	136137
syndip	chr15	0	2344	99750351	147815
syndip	chr16	0	2715	96327705	139341
syndip	chr17	0	241111	84274128	116531
syndip	chr18	0	164842	80539437	99189
syndip	chr20	0	2716	66196251	102130
syndip	chr19	0	2210	61672854	98447
syndip	chr22	0	3716337	51322042	104543
syndip	chr21	0	3159	45086161	79289
