chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	752211	752212	unassigned-0000373	70604	unassigned	left_end	chr1	709442	723551	SCNN1D	28661
chr1	822814	822815	unassigned-0000373	70604	unassigned	right_end	chr1	884060	904534	ATAD3C	61246
chr1	885645	885646	unassigned-0002292	107463	unassigned	left_end	chr1	884060	904534	ATAD3C	0
chr1	900923	900924	unassigned-0002307	66141	unassigned	left_end	chr1	884060	904534	ATAD3C	0
chr1	967027	967028	unassigned-0002307	66141	unassigned	right_end	chr1	946665	969189	ATAD3A	0
chr1	992778	992779	unassigned-0002292	107463	unassigned	right_end	chr1	946665	969189	ATAD3A	23590
chr1	1186759	1186760	unassigned-0002308	61146	unassigned	left_end	chr1	1185649	1214892	NADK	0
chr1	1207139	1207140	unassigned-0001137	78934	unassigned	left_end	chr1	1185649	1214892	NADK	0
chr1	1240344	1240345	unassigned-0001138	65834	unassigned	left_end	chr1	1185649	1214892	NADK	25453
chr1	1247817	1247818	unassigned-0002308	61146	unassigned	right_end	chr1	1185649	1214892	NADK	32926
chr1	1265974	1265975	unassigned-0001136	28637	unassigned	left_end	chr1	1185649	1214892	NADK	51083
chr1	1286089	1286090	unassigned-0001137	78934	unassigned	right_end	chr1	1185649	1214892	NADK	71198
chr1	1294623	1294624	unassigned-0001136	28637	unassigned	right_end	chr1	1185649	1214892	NADK	79732
chr1	1306167	1306168	unassigned-0001138	65834	unassigned	right_end	chr1	1185649	1214892	NADK	91276
chr1	12373579	12373580	unassigned-0000864	33672	unassigned	left_end	chr1	12368615	12375422	PRAMEF11	0
chr1	12407246	12407247	unassigned-0000864	33672	unassigned	right_end	chr1	12401097	12405915	PRAMEF2	1332
chr1	12451521	12451522	unassigned-0000376	37213	unassigned	left_end	chr1	12460528	12464670	PRAMEF7	9007
chr1	12488567	12488568	unassigned-0000376	37213	unassigned	right_end	chr1	12482393	12491489	PRAMEF6	0
chr1	16209195	16209196	haplotype1-0000067	795385	haplotype1	left_end	chr1	16245734	16258384	CROCCP2	36539
chr1	16277501	16277502	haplotype1-0000136	118341	haplotype1	left_end	chr1	16273049	16277896	MST1P2	0
chr1	16300810	16300811	unassigned-0000783	21726	unassigned	left_end	chr1	16301180	16301254	TRN-GTT26-1	370
chr1	16322509	16322510	unassigned-0000783	21726	unassigned	right_end	chr1	16319772	16334879	LOC124904557	0
chr1	16367805	16367806	unassigned-0001461	32883	unassigned	left_end	chr1	16358552	16365915	MST1L	1891
chr1	16395839	16395840	haplotype1-0000136	118341	haplotype1	right_end	chr1	16396853	16396927	MIR3675	1014
chr1	16400675	16400676	unassigned-0001461	32883	unassigned	right_end	chr1	16398707	16401861	EIF1AXP1	0
chr1	16648072	16648073	haplotype1-0000066	368068	haplotype1	left_end	chr1	16603251	16656036	NBPF1	0
chr1	16717599	16717600	haplotype2-0000322	128725	haplotype2	left_end	chr1	16724528	16783391	CROCC	6929
chr1	16730121	16730122	unassigned-0001050	46076	unassigned	left_end	chr1	16724528	16783391	CROCC	0
chr1	16750533	16750534	unassigned-0000612	21240	unassigned	left_end	chr1	16724528	16783391	CROCC	0
chr1	16771770	16771771	unassigned-0000612	21240	unassigned	right_end	chr1	16724528	16783391	CROCC	0
chr1	16776168	16776169	unassigned-0001050	46076	unassigned	right_end	chr1	16724528	16783391	CROCC	0
chr1	16846350	16846351	haplotype2-0000322	128725	haplotype2	right_end	chr1	16724528	16783391	CROCC	62960
chr1	16846511	16846512	unassigned-0000417	130051	unassigned	left_end	chr1	16724528	16783391	CROCC	63121
chr1	16846985	16846986	haplotype1-0000046	762318	haplotype1	left_end	chr1	16724528	16783391	CROCC	63595
chr1	16976572	16976573	unassigned-0000417	130051	unassigned	right_end	chr1	16724528	16783391	CROCC	193182
chr1	17016349	17016350	haplotype1-0000066	368068	haplotype1	right_end	chr1	17220706	17253705	RCC2	204357
chr1	17489704	17489705	haplotype1-0000045	65101	haplotype1	left_end	chr1	17220706	17253705	RCC2	236000
chr1	17554850	17554851	haplotype1-0000045	65101	haplotype1	right_end	chr1	17220706	17253705	RCC2	301146
chr1	17611330	17611331	haplotype1-0000046	762318	haplotype1	right_end	chr1	17220706	17253705	RCC2	357626
chr1	21673425	21673426	unassigned-0000718	33435	unassigned	left_end	chr1	21800815	21822459	CELA3B	127390
chr1	21678072	21678073	unassigned-0000719	41321	unassigned	left_end	chr1	21800815	21822459	CELA3B	122743
chr1	21706868	21706869	unassigned-0000718	33435	unassigned	right_end	chr1	21800815	21822459	CELA3B	93947
chr1	21719381	21719382	unassigned-0000719	41321	unassigned	right_end	chr1	21800815	21822459	CELA3B	81434
chr1	22935703	22935704	unassigned-0001058	17536	unassigned	left_end	chr1	23137823	23177454	HNRNPR	202120
chr1	22953254	22953255	unassigned-0001058	17536	unassigned	right_end	chr1	23137823	23177454	HNRNPR	184569
chr1	26551806	26551807	unassigned-0001192	18492	unassigned	left_end	chr1	26357068	26358216	DPPA2P2	193591
chr1	26554503	26554504	unassigned-0000404	34825	unassigned	left_end	chr1	26357068	26358216	DPPA2P2	196288
