contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0002189	12978	unassigned	chr10	12946	0	0	non_satellite
unassigned-0002108	26593	unassigned	chr1	26589	0	0	non_satellite
unassigned-0000840	59145	unassigned	chr7	59488	0	0	non_satellite
unassigned-0000881	215198	unassigned	chr4	215661	0	0	non_satellite
unassigned-0000882	48971	unassigned	chr4	48939	0	0	non_satellite
unassigned-0000801	63254	unassigned	chr16	63307	0	0	non_satellite
unassigned-0000883	16547	unassigned	chr15	16420	16420	1	satellite
unassigned-0000843	58156	unassigned	chr8	58064	0	0	non_satellite
unassigned-0000885	79009	unassigned	chr8	78993	0	0	non_satellite
unassigned-0000844	68680	unassigned	chr1	68551	0	0	non_satellite
unassigned-0000530	68860	unassigned	chr21	360560	72112	0.2	non_satellite
unassigned-0000845	53494	unassigned	chr1	53446	0	0	non_satellite
unassigned-0000571	299297	unassigned	chr1	299287	0	0	non_satellite
unassigned-0000846	22952	unassigned	chr19	22956	0	0	non_satellite
unassigned-0000572	67638	unassigned	chr13	139912	69956	0.5	satellite
unassigned-0000888	28585	unassigned	chrX	28572	0	0	non_satellite
unassigned-0000532	60069	unassigned	chr2	60020	0	0	non_satellite
unassigned-0000847	183063	unassigned	chr19	183179	0	0	non_satellite
unassigned-0000573	21327	unassigned	chr13	21222	21222	1	satellite
unassigned-0000889	35648	unassigned	chrX	35645	0	0	non_satellite
unassigned-0000533	27084	unassigned	chr13	27071	27071	1	satellite
unassigned-0000574	38724	unassigned	chr13	81996	40998	0.5	satellite
unassigned-0000534	22528	unassigned	chr13	22465	22465	1	satellite
unassigned-0000849	102774	unassigned	chr1	102769	0	0	non_satellite
unassigned-0000575	199351	unassigned	chr14	772540	193135	0.25	non_satellite
unassigned-0000535	66819	unassigned	chr14	132680	66340	0.5	satellite
unassigned-0000576	219555	unassigned	chr21	1614037	217110	0.134514	non_satellite
unassigned-0000536	37629	unassigned	chr22	37699	37699	1	satellite
unassigned-0000577	239251	unassigned	chr1	239312	0	0	non_satellite
unassigned-0000578	82232	unassigned	chr11	82128	0	0	non_satellite
unassigned-0000579	37814	unassigned	chr8	37838	0	0	non_satellite
unassigned-0000539	148956	unassigned	chr14	148224	148224	1	satellite
unassigned-0001880	120618	unassigned	chr8	120630	0	0	non_satellite
unassigned-0001881	33979	unassigned	chr5	35231	0	0	non_satellite
haplotype2-0000300	55959	haplotype2	chr15	20585	20585	1	satellite
unassigned-0001800	104171	unassigned	chr22	98578	98578	1	satellite
haplotype2-0000301	353845	haplotype2	chr21	594823	345645	0.581089	satellite
unassigned-0001882	66594	unassigned	chr12	66454	0	0	non_satellite
unassigned-0001802	132652	unassigned	chr21	46998	46998	1	satellite
unassigned-0001884	80138	unassigned	chr12	80106	0	0	non_satellite
unassigned-0001843	66651	unassigned	chr1	147868	73934	0.5	satellite
unassigned-0001803	83929	unassigned	chr21	70642	70642	1	satellite
unassigned-0001570	130663	unassigned	chr12	130672	0	0	non_satellite
haplotype2-0000304	119832	haplotype2	chr13	120238	120238	1	satellite
unassigned-0001845	179275	unassigned	chrX	178969	0	0	non_satellite
unassigned-0001886	84222	unassigned	chr17	84247	0	0	non_satellite
haplotype2-0000305	159193	haplotype2	chr16	1751211	159201	0.0909091	non_satellite
unassigned-0001571	61379	unassigned	chr15	61360	0	0	non_satellite
unassigned-0001530	32771	unassigned	chr14	32696	0	0	non_satellite
