contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000841	72062	unassigned	chr16	72088	0	0	non_satellite
unassigned-0000884	48887	unassigned	chr2	48849	0	0	non_satellite
unassigned-0000843	118224	unassigned	chr21	20000	20000	1	satellite
unassigned-0000803	53951	unassigned	chr22	105674	52837	0.5	satellite
unassigned-0000530	93603	unassigned	chr21	20498	20498	1	satellite
unassigned-0000886	98069	unassigned	chr15	98058	98058	1	satellite
unassigned-0000571	165728	unassigned	chr13	19539	19539	1	satellite
unassigned-0000531	33990	unassigned	chr21	20435	20435	1	satellite
unassigned-0000887	89225	unassigned	chr2	88894	0	0	non_satellite
unassigned-0000846	53401	unassigned	chr15	53349	53349	1	satellite
unassigned-0000888	106338	unassigned	chr15	106360	106360	1	satellite
unassigned-0000847	46177	unassigned	chr16	46193	0	0	non_satellite
unassigned-0000848	88457	unassigned	chr16	88474	0	0	non_satellite
unassigned-0000534	31183	unassigned	chr22	26829	26829	1	satellite
unassigned-0000809	29842	unassigned	chr7	29763	0	0	non_satellite
unassigned-0000261	40422	unassigned	chr13	40333	40333	1	satellite
unassigned-0000536	65148	unassigned	chr2	65129	0	0	non_satellite
unassigned-0000262	35975	unassigned	chr10	35288	0	0	non_satellite
unassigned-0000264	171027	unassigned	chr5	170988	0	0	non_satellite
unassigned-0000265	122789	unassigned	chr15	122739	122739	1	satellite
unassigned-0000266	56847	unassigned	chr15	56789	56789	1	satellite
unassigned-0000267	89438	unassigned	chr15	89406	89406	1	satellite
unassigned-0000268	37922	unassigned	chr17	37876	0	0	non_satellite
unassigned-0000227	247198	unassigned	chr2	247111	0	0	non_satellite
unassigned-0000228	65315	unassigned	chr2	65250	0	0	non_satellite
haplotype1-0000070	131391	haplotype1	chr18	134101	134101	1	satellite
haplotype1-0000071	108403	haplotype1	chr6	108395	0	0	non_satellite
haplotype1-0000030	320136	haplotype1	chr15	320240	320240	1	satellite
haplotype1-0000031	344114	haplotype1	chr15	344446	0	0	non_satellite
haplotype1-0000032	137073	haplotype1	chr5	137050	0	0	non_satellite
haplotype1-0000073	294299	haplotype1	chr21	323595	323595	1	satellite
haplotype1-0000033	146858	haplotype1	chr5	146869	0	0	non_satellite
haplotype1-0000075	192688	haplotype1	chr9	94287	94287	1	satellite
haplotype1-0000077	343046	haplotype1	chr9	214284	214284	1	satellite
haplotype1-0000078	424456	haplotype1	chr9	80939	80939	1	satellite
haplotype1-0000037	166153	haplotype1	chr17	160055	0	0	non_satellite
haplotype1-0000079	119210	haplotype1	chr9	107956	107956	1	satellite
haplotype1-0000038	156983	haplotype1	chr19	156892	0	0	non_satellite
unassigned-0000921	24100	unassigned	chr15	24070	24070	1	satellite
unassigned-0000922	25885	unassigned	chr5	25859	0	0	non_satellite
unassigned-0000963	139902	unassigned	chr5	139925	0	0	non_satellite
unassigned-0000964	146004	unassigned	chr5	145966	0	0	non_satellite
unassigned-0000650	83905	unassigned	chr1	83899	0	0	non_satellite
unassigned-0000925	74454	unassigned	chr17	74391	0	0	non_satellite
unassigned-0000926	70252	unassigned	chr17	70259	0	0	non_satellite
unassigned-0000652	116085	unassigned	chr20	116110	0	0	non_satellite
unassigned-0000968	150838	unassigned	chr2	378945	126315	0.333333	non_satellite
unassigned-0000694	88462	unassigned	chr1	88433	0	0	non_satellite
unassigned-0000612	133005	unassigned	chr21	43910	43910	1	satellite
unassigned-0000654	18545	unassigned	chr1	18547	18547	1	satellite
unassigned-0000613	118930	unassigned	chr10	194297	104386	0.53725	satellite
unassigned-0000929	50738	unassigned	chr13	50407	50407	1	satellite
unassigned-0000655	34789	unassigned	chr1	34752	34752	1	satellite
unassigned-0000381	98388	unassigned	chr14	98301	0	0	non_satellite
unassigned-0000614	119698	unassigned	chr21	39582	39582	1	satellite
unassigned-0000656	28870	unassigned	chr16	28868	0	0	non_satellite
unassigned-0000382	138716	unassigned	chr14	138675	0	0	non_satellite
unassigned-0000657	49769	unassigned	chr19	49725	0	0	non_satellite
unassigned-0000383	48284	unassigned	chr19	48261	0	0	non_satellite
unassigned-0000342	86860	unassigned	chr21	86825	0	0	non_satellite
unassigned-0000302	31556	unassigned	chr3	31553	0	0	non_satellite
unassigned-0000658	29699	unassigned	chr13	29534	29534	1	satellite
unassigned-0000303	40793	unassigned	chr17	40770	0	0	non_satellite
unassigned-0000344	60399	unassigned	chr13	61840	61840	1	satellite
unassigned-0000304	148077	unassigned	chr4	148044	0	0	non_satellite
unassigned-0000386	81952	unassigned	chr1	91413	91413	1	satellite
unassigned-0000619	181253	unassigned	chr21	87820	87820	1	satellite
unassigned-0000305	35307	unassigned	chr4	35149	0	0	non_satellite
unassigned-0000346	70264	unassigned	chr13	61762	61762	1	satellite
unassigned-0000388	62156	unassigned	chr7	64774	0	0	non_satellite
unassigned-0000307	36871	unassigned	chr5	36875	0	0	non_satellite
unassigned-0000389	27391	unassigned	chr11	27344	0	0	non_satellite
unassigned-0000348	165076	unassigned	chr1	165052	0	0	non_satellite
unassigned-0000308	79654	unassigned	chr1	79605	0	0	non_satellite
unassigned-0000309	97003	unassigned	chr8	96913	0	0	non_satellite
haplotype2-0000190	149609	haplotype2	chr6	149665	0	0	non_satellite
haplotype2-0000150	36472	haplotype2	chr4	36365	0	0	non_satellite
haplotype2-0000151	119516	haplotype2	chr8	119507	0	0	non_satellite
haplotype2-0000110	2410636	haplotype2	chr15	10836960	1898873	0.175222	non_satellite
haplotype2-0000193	35579	haplotype2	chr22	35574	35574	1	satellite
haplotype2-0000194	268900	haplotype2	chr6	128729	128729	1	satellite
haplotype2-0000112	2410554	haplotype2	chr15	5946600	1650321	0.277523	non_satellite
haplotype2-0000153	102602	haplotype2	chr10	102249	0	0	non_satellite
haplotype2-0000195	749931	haplotype2	chr6	934163	934163	1	satellite
haplotype2-0000113	1402952	haplotype2	chr13	22720278	1346305	0.0592557	non_satellite
haplotype2-0000154	447635	haplotype2	chr1	70449	70449	1	satellite
haplotype2-0000196	916212	haplotype2	chr6	561755	561755	1	satellite
haplotype2-0000155	267115	haplotype2	chr15	266879	266879	1	satellite
haplotype2-0000156	158473	haplotype2	chrY	158462	158462	1	satellite
haplotype2-0000197	248995	haplotype2	chr6	318532	318532	1	satellite
haplotype2-0000198	51700	haplotype2	chr7	51613	0	0	non_satellite
haplotype2-0000159	156525	haplotype2	chr18	54319	54319	1	satellite
unassigned-0001073	64118	unassigned	chr13	64263	64263	1	satellite
unassigned-0001035	31308	unassigned	chr13	31188	31188	1	satellite
unassigned-0000730	32893	unassigned	chr21	32790	32790	1	satellite
unassigned-0000772	56122	unassigned	chr2	56119	0	0	non_satellite
unassigned-0000733	29619	unassigned	chr9	29599	0	0	non_satellite
unassigned-0000734	87025	unassigned	chr9	87059	0	0	non_satellite
unassigned-0000420	158458	unassigned	chr18	25866	25866	1	satellite
unassigned-0000462	122946	unassigned	chr5	123024	0	0	non_satellite
unassigned-0000777	32778	unassigned	chr13	32608	32608	1	satellite
unassigned-0000737	39139	unassigned	chr3	39122	0	0	non_satellite
unassigned-0000463	34218	unassigned	chr17	34185	0	0	non_satellite
unassigned-0000422	83276	unassigned	chr17	83068	0	0	non_satellite
unassigned-0000464	41930	unassigned	chr16	41898	41898	1	satellite
unassigned-0000423	29284	unassigned	chr11	29258	0	0	non_satellite
unassigned-0000739	65109	unassigned	chr8	65150	65150	1	satellite
unassigned-0000424	190377	unassigned	chr7	190449	0	0	non_satellite
unassigned-0000466	65481	unassigned	chr15	63873	63873	1	satellite
unassigned-0000425	34109	unassigned	chr3	33986	0	0	non_satellite
unassigned-0000426	78627	unassigned	chr6	78653	0	0	non_satellite
unassigned-0000467	128456	unassigned	chr15	128434	128434	1	satellite
unassigned-0000468	28960	unassigned	chr15	28956	28956	1	satellite
unassigned-0000428	152385	unassigned	chr15	152415	152415	1	satellite
unassigned-0000429	35599	unassigned	chr8	71140	35570	0.5	satellite
unassigned-0001150	49574	unassigned	chr12	49581	0	0	non_satellite
unassigned-0001110	38488	unassigned	chr2	38480	0	0	non_satellite
unassigned-0001151	110161	unassigned	chr12	110127	0	0	non_satellite
unassigned-0001112	51769	unassigned	chr1	51784	0	0	non_satellite
unassigned-0001153	67921	unassigned	chr3	67923	0	0	non_satellite
unassigned-0001155	58902	unassigned	chr18	58884	0	0	non_satellite
unassigned-0001116	128581	unassigned	chr21	40418	40418	1	satellite
unassigned-0001117	127407	unassigned	chr21	43910	43910	1	satellite
unassigned-0001158	97138	unassigned	chr19	97075	0	0	non_satellite
unassigned-0001118	55035	unassigned	chr6	55042	0	0	non_satellite
unassigned-0000890	59485	unassigned	chr15	59442	59442	1	satellite
unassigned-0000891	293366	unassigned	chr15	280562	280562	1	satellite
unassigned-0000851	38233	unassigned	chr5	38180	0	0	non_satellite
unassigned-0000811	2665879	unassigned	chr15	1770246	1770246	1	satellite
unassigned-0000894	125155	unassigned	chr3	125435	0	0	non_satellite
unassigned-0000854	187633	unassigned	chr15	285525	210987	0.738944	satellite
unassigned-0000580	130516	unassigned	chr2	121416	121416	1	satellite
unassigned-0000814	127448	unassigned	chr9	764370	127395	0.166667	non_satellite
unassigned-0000581	38362	unassigned	chr2	38371	38371	1	satellite
unassigned-0000856	39368	unassigned	chr1	39370	0	0	non_satellite
unassigned-0000501	57079	unassigned	chr15	57237	57237	1	satellite
unassigned-0000899	96404	unassigned	chr21	20380	20380	1	satellite
unassigned-0000543	90385	unassigned	chr14	89444	89444	1	satellite
unassigned-0000502	192511	unassigned	chr15	192528	192528	1	satellite
unassigned-0000859	59031	unassigned	chr1	59011	0	0	non_satellite
unassigned-0000818	98974	unassigned	chr21	30001	30001	1	satellite
unassigned-0000503	39450	unassigned	chr15	39437	39437	1	satellite
unassigned-0000504	49232	unassigned	chr15	49235	49235	1	satellite
unassigned-0000587	43204	unassigned	chr16	43194	43194	1	satellite
unassigned-0000272	43948	unassigned	chr20	43918	0	0	non_satellite
unassigned-0000505	98307	unassigned	chr15	98338	98338	1	satellite
unassigned-0000231	72201	unassigned	chr18	72173	0	0	non_satellite
unassigned-0000588	171937	unassigned	chr7	164967	0	0	non_satellite
unassigned-0000589	34836	unassigned	chr16	34808	34808	1	satellite
unassigned-0000274	29966	unassigned	chr12	29898	0	0	non_satellite
unassigned-0000549	160749	unassigned	chr22	618668	154667	0.25	non_satellite
unassigned-0000275	40978	unassigned	chr18	40942	0	0	non_satellite
unassigned-0000276	69503	unassigned	chr18	69505	0	0	non_satellite
