chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	6607107	6607108	unassigned-0000357	118508	unassigned	left_end	chr1	6150531	6161259	THAP3	445849
chr1	6661549	6661550	unassigned-0000358	54058	unassigned	left_end	chr1	6150531	6161259	THAP3	500291
chr1	6715606	6715607	unassigned-0000358	54058	unassigned	right_end	chr1	6150531	6161259	THAP3	554348
chr1	6718040	6718041	unassigned-0000356	34882	unassigned	left_end	chr1	6150531	6161259	THAP3	556782
chr1	6726064	6726065	unassigned-0000357	118508	unassigned	right_end	chr1	6150531	6161259	THAP3	564806
chr1	6752806	6752807	unassigned-0000356	34882	unassigned	right_end	chr1	6150531	6161259	THAP3	591548
chr1	16105866	16105867	haplotype2-0000188	187635	haplotype2	left_end	chr1	16092529	16106917	LOC124900386	0
chr1	16200685	16200686	haplotype2-0000189	148785	haplotype2	left_end	chr1	16245734	16258384	CROCCP2	45049
chr1	16342908	16342909	haplotype2-0000189	148785	haplotype2	right_end	chr1	16319772	16334879	LOC124904557	8030
chr1	16392790	16392791	haplotype2-0000188	187635	haplotype2	right_end	chr1	16393869	16393940	TRG-CCC4-1	1079
chr1	25135223	25135224	unassigned-0000650	83905	unassigned	left_end	chr1	25078509	25174547	RSRP1	0
chr1	25135223	25135224	unassigned-0000650	83905	unassigned	left_end	chr1	25108756	25166740	RHD	0
chr1	25219121	25219122	unassigned-0000650	83905	unassigned	right_end	chr1	25198546	25266546	RHCE	0
chr1	35282031	35282032	unassigned-0000694	88462	unassigned	left_end	chr1	35131763	35285115	ZMYM4	0
chr1	35370463	35370464	unassigned-0000694	88462	unassigned	right_end	chr1	35131763	35285115	ZMYM4	85349
chr1	38944288	38944289	unassigned-0000308	79654	unassigned	left_end	chr1	38858493	38873280	AKIRIN1	71009
chr1	39023892	39023893	unassigned-0000308	79654	unassigned	right_end	chr1	38858493	38873280	AKIRIN1	150613
chr1	44843889	44843890	unassigned-0000676	110650	unassigned	left_end	chr1	44859742	44860367	PPIAP35	15853
chr1	44954498	44954499	unassigned-0000676	110650	unassigned	right_end	chr1	44887992	45078165	ZSWIM5	0
chr1	50849771	50849772	unassigned-0000363	340895	unassigned	left_end	chr1	51037338	51038439	CFL1P2	187567
