chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	16510153	16517653	N_region	7500	-	chr1	16509387	16524500	LOC124904557	0
chr1	92695560	92703013	N_region_windowed	7500	-	chr1	93191627	93215212	DR1	488615
chr1	147581067	147588567	N_region_windowed	7500	-	chr1	147694100	147708959	NBPF13P	105534
chr10	31719351	31746045	N_region_windowed	7500	-	chr10	31348154	31559554	ZEB1	159798
chr10	52613206	52705959	N_region_windowed	100000	-	chr10	53257569	53260093	THAP12P3	551611
chr11	63604703	63614875	N_region_windowed	7500	-	chr11	63670789	63749258	RTN3	55915
chr12	68986208	68987708	N_region_windowed	1500	-	chr12	68821775	68943048	CPM	43161
chr13	5679733	5779642	N_region_windowed	100000	+	chr13	5727724	5727877	VN1R112P	0
chr13	5679733	5779642	N_region_windowed	100000	+	chr13	5774302	5787683	RNA45S1	0
chr13	5679733	5779642	N_region_windowed	100000	+	chr13	5777957	5779826	RNA18S1	0
chr13	9211735	9292470	N_region_windowed	100000	-	chr13	9201670	9215006	RNA45S1	0
chr13	9211735	9292470	N_region_windowed	100000	-	chr13	9209586	9214648	RNA28S1	0
chr13	9211735	9292470	N_region_windowed	100000	-	chr13	9246540	9259894	RNA45S1	0
chr13	9211735	9292470	N_region_windowed	100000	-	chr13	9250196	9252065	RNA18S1	0
chr13	9211735	9292470	N_region_windowed	100000	-	chr13	9253143	9253300	RNA5-8S1	0
chr13	9211735	9292470	N_region_windowed	100000	-	chr13	9254471	9259539	RNA28S1	0
chr13	10464757	10466257	N_region_windowed	1500	+	chr13	10470112	10471393	LOC107984150	3856
chr13	48540938	48541931	N_region_windowed	7500	-	chr13	48469228	48514699	CDADC1	26240
chr14	70542419	70571326	N_region_windowed	30732	-	chr14	70843031	70843714	CYCSP1	271706
chr14	73334902	73466030	N_region_windowed	100000	-	chr14	72379418	74078363	NRXN3	0
chr14	75662054	75671426	N_region_windowed	7500	-	chr14	75167790	75358539	TSHR	303516
chr15	2354025	2450713	N_region_windowed	100000	-	chr15	2318252	2359159	LOC102724219	0
chr15	2354025	2450713	N_region_windowed	100000	-	chr15	2399092	2400609	LOC100996362	0
chr15	2354025	2450713	N_region_windowed	100000	-	chr15	2409623	2414457	LOC100507395	0
chr15	18662327	18713734	N_region_windowed	51471	+	chr15	18640859	18668349	LOC102723461	0
chr15	18662327	18713734	N_region_windowed	51471	+	chr15	18685240	18686867	LOC124903443	0
chr15	18662327	18713734	N_region_windowed	51471	+	chr15	18687595	18688359	LONRF2P3	0
chr15	20620526	20716142	N_region_windowed	100000	-	chr15	20766462	20778834	ELMO2P1	50321
chr15	21967719	21975004	N_region_windowed	7500	-	chr15	21835757	22276545	LOC105370733	0
chr15	21967719	21975004	N_region_windowed	7500	-	chr15	21969060	21978986	LOC102725165	0
chr15	67067795	67070790	N_region_windowed	7500	-	chr15	67274898	67278285	RPLP1	204109
chr16	14893155	14900655	N_region_windowed	7500	+	chr16	14832115	14894560	NOMO1	0
chr16	14893155	14900655	N_region_windowed	7500	+	chr16	14895713	14915816	LOC101927469	0
chr16	14893155	14900655	N_region_windowed	7500	+	chr16	14899908	14899992	MIR3179-1	0
chr16	22992329	23082694	N_region_windowed	100000	-	chr16	23091843	23194123	HS3ST2	9150
chr16	37228047	37250720	N_region_windowed	7500	-	chr16	38016788	38017878	LOC101929923	766069
chr16	76040394	76047894	N_region_windowed	7500	+	chr16	76030581	76057618	SMG1P7	0
chr16	76040394	76047894	N_region_windowed	7500	+	chr16	76043979	76044083	LOC124903795	0
chr17	19131408	19136673	N_region_windowed	7500	-	chr17	19136016	19136233	SNORD3C	0
chr18	7330614	7338112	N_region_windowed	7500	+	chr18	7294645	7296406	SLC25A51P2	34209
chr18	18035744	18043244	N_region_windowed	7500	+	chr18	15474787	15491495	LOC644669	2544250
