#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	7787	248383424	267386
syndip	chr2	0	3155	242520179	250856
syndip	chr3	0	2645	201101343	211915
syndip	chr4	0	3022	193490816	232163
syndip	chr5	0	31830	182025943	196000
syndip	chr6	0	8047	172124006	217311
syndip	chr7	0	3200	160549708	197266
syndip	chrX	0	17566	154256551	134111
syndip	chr9	0	3545	150614219	160445
syndip	chr8	0	2183	146235495	158056
syndip	chr11	0	1837	135125485	179627
syndip	chr10	0	3727	134723423	157966
syndip	chr12	0	4614	133322669	146397
syndip	chr13	0	2742	113562614	114705
syndip	chr14	0	29813	101158107	140123
syndip	chr15	0	6091	99749463	168063
syndip	chr16	0	26118	96327872	135458
syndip	chr17	0	2246	84237411	108602
syndip	chr18	0	163949	80539281	98060
syndip	chr20	0	2374	66206141	88957
syndip	chr19	0	2210	61703723	92606
syndip	chr22	0	4614	51321978	118809
syndip	chr21	0	3048	45086027	87415
