contig	color
contig-0000001	#00B28C	chr17
contig-0000002	#00B28C	chr17
contig-0000003	#E6C47F	chr22
contig-0000004	#CC79A7	chr4
contig-0000005	#666666	chr7
contig-0000006	#56B4E9	chr2
contig-0000007	#56B4E9	chr2
contig-0000008	#56B4E9	chr2
contig-0000009	#56B4E9	chr2
contig-0000010	#CC79A7	chr4
contig-0000011	#CC79A7	chr4
contig-0000012	#CC79A7	chr4
contig-0000013	#CC79A7	chr4
contig-0000014	#CC79A7	chr4
contig-0000015	#CC8DB3	chr11
contig-0000016	#666666	chr7
contig-0000017	#CC8DB3	chr11
contig-0000018	#CC8DB3	chr11
contig-0000019	#CC8DB3	chr11
contig-0000020	#CC8DB3	chr11
contig-0000021	#338CC2	chr19
contig-0000022	#338CC2	chr19
contig-0000023	#338CC2	chr19
contig-0000024	#CCA0BF	chr18
contig-0000025	#CCA0BF	chr18
contig-0000026	#CCA0BF	chr18
contig-0000027	#666666	chr7
contig-0000028	#CCA0BF	chr18
contig-0000029	#0072B2	chr5
contig-0000030	#0072B2	chr5
contig-0000031	#0072B2	chr5
contig-0000032	#0072B2	chr5
contig-0000033	#0072B2	chr5
contig-0000034	#0072B2	chr5
contig-0000035	#0072B2	chr5
contig-0000036	#0072B2	chr5
contig-0000037	#0072B2	chr5
contig-0000038	#0072B2	chr5
contig-0000039	#0072B2	chr5
contig-0000040	#0072B2	chr5
contig-0000041	#009E73	chr3
contig-0000042	#009E73	chr3
contig-0000043	#009E73	chr3
contig-0000044	#5699E9	chr9
contig-0000045	#5699E9	chr9
contig-0000046	#5699E9	chr9
contig-0000047	#E69F00	chr1
contig-0000048	#E69F00	chr1
contig-0000049	#E69F00	chr1
contig-0000050	#666666	chr7
contig-0000051	#666666	chr7
contig-0000052	#666666	chr7
contig-0000053	#666666	chr7
contig-0000054	#666666	chr7
contig-0000055	#1A7FBA	chr12
contig-0000056	#1A7FBA	chr12
contig-0000057	#56B4E9	chr2
contig-0000058	#1A7FBA	chr12
contig-0000059	#56B4E9	chr2
contig-0000060	#56B4E9	chr2
contig-0000061	#56B4E9	chr2
contig-0000062	#56B4E9	chr2
contig-0000063	#56B4E9	chr2
contig-0000064	#56B4E9	chr2
contig-0000065	#D57533	chr13
contig-0000066	#D57533	chr13
contig-0000067	#D57533	chr13
contig-0000068	#56B4E9	chr2
contig-0000069	#D57533	chr13
contig-0000070	#D57533	chr13
contig-0000071	#009E73	chr3
