contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000327	75598	unassigned	chr21	23764	23764	1	satellite
unassigned-0000328	90142	unassigned	chr15	91065	91065	1	satellite
unassigned-0000114	183249	unassigned	chr14	163197	163197	1	satellite
unassigned-0000115	85599	unassigned	chr21	178262	89131	0.5	satellite
unassigned-0000329	319888	unassigned	chr15	154897	154897	1	satellite
unassigned-0000343	111965	unassigned	chr21	24481	24481	1	satellite
unassigned-0000570	100783	unassigned	chr22	76706	76706	1	satellite
unassigned-0000344	111438	unassigned	chr21	13732	13732	1	satellite
unassigned-0000572	82543	unassigned	chr21	57727	57727	1	satellite
unassigned-0000559	136475	unassigned	chr21	28554	28554	1	satellite
unassigned-0000573	78494	unassigned	chr21	40365	40365	1	satellite
unassigned-0000346	139055	unassigned	chr15	94702	94702	1	satellite
unassigned-0000347	72473	unassigned	chr21	70673	70673	1	satellite
unassigned-0000360	219729	unassigned	chr21	46412	46412	1	satellite
unassigned-0000361	127414	unassigned	chr21	213725	141247	0.660882	satellite
unassigned-0000362	68032	unassigned	chr21	13945	13945	1	satellite
unassigned-0000349	3220297	unassigned	chr14	12137522	2005803	0.165256	non_satellite
unassigned-0000610	150261	unassigned	chr3	150218	0	0	non_satellite
unassigned-0000577	56095	unassigned	chr21	10172	10172	1	satellite
unassigned-0000365	138771	unassigned	chr21	70061	70061	1	satellite
unassigned-0000151	166705	unassigned	chr21	108549	108549	1	satellite
unassigned-0000152	122786	unassigned	chr21	123085	0	0	non_satellite
unassigned-0000593	131807	unassigned	chr21	16214	16214	1	satellite
unassigned-0000366	81054	unassigned	chr15	81584	81584	1	satellite
unassigned-0000139	136881	unassigned	chr13	66143	66143	1	satellite
unassigned-0000614	84907	unassigned	chr6	84900	0	0	non_satellite
unassigned-0000594	166397	unassigned	chr21	84553	84553	1	satellite
unassigned-0000368	79768	unassigned	chr13	75315	75315	1	satellite
unassigned-0000155	120006	unassigned	chr13	103936	103936	1	satellite
unassigned-0000403	77534	unassigned	chr15	77974	77974	1	satellite
unassigned-0000383	134009	unassigned	chr14	397953	132651	0.333333	non_satellite
unassigned-0000384	119643	unassigned	chr22	41359	41359	1	satellite
unassigned-0000170	35621	unassigned	chr13	35460	35460	1	satellite
unassigned-0000618	90187	unassigned	chr13	94740	94740	1	satellite
unassigned-0000385	88356	unassigned	chr21	44474	44474	1	satellite
unassigned-0000405	296844	unassigned	chr21	16214	16214	1	satellite
