chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	126957968	126957969	haplotype1-0000037	61439	haplotype1	left_end	chr1	127720229	127766430	LINC01666	762261
chr1	126962173	126962174	haplotype1-0000057	360240	haplotype1	left_end	chr1	127720229	127766430	LINC01666	758056
chr1	126962173	126962174	haplotype1-0000058	373347	haplotype1	left_end	chr1	127720229	127766430	LINC01666	758056
chr1	127100423	127100424	haplotype1-0000057	360240	haplotype1	right_end	chr1	127720229	127766430	LINC01666	619806
chr1	127110029	127110030	haplotype1-0000058	373347	haplotype1	right_end	chr1	127720229	127766430	LINC01666	610200
chr1	127203694	127203695	haplotype1-0000038	418591	haplotype1	left_end	chr1	127720229	127766430	LINC01666	516535
chr1	127203694	127203695	haplotype1-0000039	401035	haplotype1	left_end	chr1	127720229	127766430	LINC01666	516535
chr1	127237819	127237820	haplotype1-0000037	61439	haplotype1	right_end	chr1	127720229	127766430	LINC01666	482410
chr1	130393095	130393096	haplotype1-0000028	306953	haplotype1	left_end	chr1	128946077	128947329	LINC02799	1445767
chr1	130410434	130410435	haplotype1-0000028	306953	haplotype1	right_end	chr1	128946077	128947329	LINC02799	1463106
chr1	136710479	136710480	haplotype1-0000030	191774	haplotype1	left_end	chr1	142264290	142273731	LOC101929814	5553811
chr1	136721069	136721070	haplotype1-0000030	191774	haplotype1	right_end	chr1	142264290	142273731	LOC101929814	5543221
chr1	139775905	139775906	haplotype1-0000038	418591	haplotype1	right_end	chr1	142264290	142273731	LOC101929814	2488385
chr1	140565422	140565423	haplotype1-0000039	401035	haplotype1	right_end	chr1	142264290	142273731	LOC101929814	1698868
chr1	150001212	150001213	haplotype2-0000085	78781	haplotype2	left_end	chr1	150001854	150050026	LOC107985204	642
chr1	150079972	150079973	haplotype2-0000085	78781	haplotype2	right_end	chr1	150001854	150050026	LOC107985204	29947
chr10	87128552	87128553	haplotype2-0000091	240969	haplotype2	left_end	chr10	86479693	87247328	GRID1	0
chr10	87254537	87254538	haplotype1-0000036	119583	haplotype1	left_end	chr10	86479693	87247328	GRID1	7210
chr10	87369548	87369549	haplotype2-0000091	240969	haplotype2	right_end	chr10	86479693	87247328	GRID1	122221
chr10	87374124	87374125	haplotype1-0000036	119583	haplotype1	right_end	chr10	86479693	87247328	GRID1	126797
chr11	16165273	16165274	unassigned-0000171	222942	unassigned	left_end	chr11	16064413	16835856	SOX6	0
chr11	16309581	16309582	unassigned-0000165	197346	unassigned	left_end	chr11	16064413	16835856	SOX6	0
chr11	16358490	16358491	unassigned-0000173	67705	unassigned	left_end	chr11	16064413	16835856	SOX6	0
chr11	16388158	16388159	unassigned-0000171	222942	unassigned	right_end	chr11	16064413	16835856	SOX6	0
chr11	16426189	16426190	unassigned-0000173	67705	unassigned	right_end	chr11	16064413	16835856	SOX6	0
chr11	16506879	16506880	unassigned-0000165	197346	unassigned	right_end	chr11	16064413	16835856	SOX6	0
chr11	111939765	111939766	haplotype1-0000051	178741	haplotype1	left_end	chr11	111937555	112032895	DIXDC1	0
chr11	112118463	112118464	haplotype1-0000051	178741	haplotype1	right_end	chr11	112153591	112174423	IL18	35128
chr12	114566982	114566983	unassigned-0000163	166421	unassigned	left_end	chr12	112395848	112486820	PTPN11	2080163
chr12	114733590	114733591	unassigned-0000163	166421	unassigned	right_end	chr12	112395848	112486820	PTPN11	2246771
chr13	2969246	2969247	unassigned-0000349	3220297	unassigned	left_end	chr13	5228525	5291184	LOC105379566	2259279
chr13	5296723	5296724	unassigned-0000529	2728269	unassigned	left_end	chr13	5295340	5317629	LOC102723382	0
chr13	5357923	5357924	unassigned-0000529	2728269	unassigned	right_end	chr13	5329122	5329714	MTCO3P34	28210
chr13	5421950	5421951	unassigned-0000349	3220297	unassigned	right_end	chr13	5437063	5437610	LOC100287188	15113
chr13	5697212	5697213	unassigned-0000114	183249	unassigned	left_end	chr13	5670006	5676728	LOC124904990	20485
chr13	5715726	5715727	unassigned-0000161	95483	unassigned	left_end	chr13	5727724	5727877	VN1R112P	11998
chr13	5745882	5745883	unassigned-0000594	166397	unassigned	left_end	chr13	5727724	5727877	VN1R112P	18006
chr13	5747858	5747859	unassigned-0000114	183249	unassigned	right_end	chr13	5727724	5727877	VN1R112P	19982
chr13	5759006	5759007	unassigned-0000594	166397	unassigned	right_end	chr13	5774302	5787683	RNA45S1	15296
chr13	5810919	5810920	unassigned-0000161	95483	unassigned	right_end	chr13	5821272	5834653	RNA45S1	10353
chr13	5818995	5818996	unassigned-0000361	127414	unassigned	left_end	chr13	5821272	5834653	RNA45S1	2277
chr13	5844443	5844444	unassigned-0000361	127414	unassigned	right_end	chr13	5821272	5834653	RNA45S1	9791
chr13	9077253	9077254	unassigned-0000473	288297	unassigned	left_end	chr13	9062202	9075583	RNA45S1	1671
chr13	9149466	9149467	unassigned-0000139	136881	unassigned	left_end	chr13	9155309	9168690	RNA45S1	5843
chr13	9150802	9150803	unassigned-0000309	125404	unassigned	left_end	chr13	9155309	9168690	RNA45S1	4507
chr13	9151101	9151102	unassigned-0000238	111076	unassigned	left_end	chr13	9155309	9168690	RNA45S1	4208
chr13	9154295	9154296	unassigned-0000285	61566	unassigned	left_end	chr13	9155309	9168690	RNA45S1	1014
chr13	9155652	9155653	unassigned-0000271	146529	unassigned	left_end	chr13	9155309	9168690	RNA45S1	0
chr13	9158297	9158298	unassigned-0000239	127265	unassigned	left_end	chr13	9155309	9168690	RNA45S1	0
chr13	9158458	9158459	unassigned-0000603	150008	unassigned	left_end	chr13	9155309	9168690	RNA45S1	0
