chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	160114282	160121483	N_region_windowed	7500	-	chr1	160031924	160033311	LOC646347	80972
chr10	31131190	31132690	N_region_windowed	1500	+	chr10	31348154	31559554	ZEB1	215465
chr11	16273307	16273324	N_region	7500	+	chr11	16064413	16835856	SOX6	0
chr11	111967087	111974588	N_region_windowed	7500	+	chr11	111937555	112032895	DIXDC1	0
chr14	2102365	2102864	N_region_windowed	7500	-	chr14	2103527	2116889	RNA45S2	664
chr16	32149800	32157300	N_region_windowed	7500	+	chr16	32339323	32340620	LOC124903681	182024
chr21	2954245	2960302	N_region_windowed	7500	-	chr21	2936289	2959379	LOC102723360	0
chr22	4639690	4740299	N_region_windowed	100000	-	chr22	4601091	4644825	LOC102724951	0
chr22	4639690	4740299	N_region_windowed	100000	-	chr22	4682808	4688697	LOC107987391	0
chr22	4639690	4740299	N_region_windowed	100000	-	chr22	4693238	4699934	LOC124904992	0
chr22	4640705	4738155	N_region_windowed	100000	-	chr22	4601091	4644825	LOC102724951	0
chr22	4640705	4738155	N_region_windowed	100000	-	chr22	4682808	4688697	LOC107987391	0
chr22	4640705	4738155	N_region_windowed	100000	-	chr22	4693238	4699934	LOC124904992	0
chr4	52446876	52525909	N_region_windowed	79040	+	chr4	49436061	49453521	LOC107987323	2993356
