#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	25133	248384169	245811
syndip	chr2	0	6614	242694019	239444
syndip	chr3	0	2645	201088672	223749
syndip	chr4	0	20155	193572909	235626
syndip	chr5	0	1940	182043949	185064
syndip	chr6	0	2950	172119794	209017
syndip	chr7	0	3086	160563396	203996
syndip	chrX	0	10507	154256551	123189
syndip	chr9	0	3512	150577120	165725
syndip	chr8	0	3641	146249921	167267
syndip	chr11	0	138221	135125229	190506
syndip	chr10	0	3785	134755106	151442
syndip	chr12	0	2740	133322567	143782
syndip	chr13	0	5125494	113563268	125120
syndip	chr14	0	5718	101160036	154573
syndip	chr15	0	3275	99750829	163645
syndip	chr16	0	2565	96327802	118639
syndip	chr17	0	46727	84274064	117465
syndip	chr18	0	163936	80539431	95558
syndip	chr20	0	2322	66207316	100612
syndip	chr19	0	2197	61704292	97725
syndip	chr22	0	4614	51319796	123672
syndip	chr21	0	3159	45087167	61144
