sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
HG00272	HG00272#2#CM094211.1	chr1	253335360	0	248387328	253335360	0	0	0.0	0	0	0.0	contig
HG00272	HG00272#2#CM094220.1	chr10	135472741	249582	134758134	135472741	1	249582	249582.0	249582	249582	0.01	scaffold
HG00272	HG00272#2#CM094221.1	chr11	133902552	0	135127769	133902552	0	0	0.0	0	0	0.0	contig
HG00272	HG00272#2#CM094222.1	chr12	133832828	22024	133324548	133832828	2	22024	11012.0	21924	100	0.01	scaffold
HG00272	HG00272#2#CM094224.1	chr18	80492278	318378	80542538	80492278	1	318378	318378.0	318378	318378	0.01	scaffold
HG00272	HG00272#2#CM094225.1	chr19	63486065	100	61707364	63486065	1	100	100.0	100	100	0.02	scaffold
HG00272	HG00272#2#CM094212.1	chr2	242510465	100	242696752	242510465	1	100	100.0	100	100	0.0	scaffold
HG00272	HG00272#2#CM094213.1	chr3	200254788	0	201105948	200254788	0	0	0.0	0	0	0.0	contig
HG00272	HG00272#2#CM094215.1	chr5	188202763	100	182045439	188202763	1	100	100.0	100	100	0.01	scaffold
HG00272	HG00272#2#CM094216.1	chr6	171421795	100	172126628	171421795	1	100	100.0	100	100	0.01	scaffold
HG00272	HG00272#2#CM094217.1	chr7	162156067	29351	160567428	162156067	1	29351	29351.0	29351	29351	0.01	scaffold
HG00272	HG00272#2#CM094218.1	chr8	145506536	472590	146259331	145506536	1	472590	472590.0	472590	472590	0.01	scaffold
HG00272	HG00272#2#CM094219.1	chr9	138948257	4932	150617247	138948257	1	4932	4932.0	4932	4932	0.01	scaffold
