#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	236830
syndip	chr2	0	3399	242694066	237002
syndip	chr3	0	2460	201101343	206556
syndip	chr4	0	3022	193490816	221741
syndip	chr5	0	1855	182044304	186737
syndip	chr6	0	8047	172124006	203444
syndip	chr7	0	3200	160564989	192222
syndip	chrX	0	5347	154256551	128361
syndip	chr9	0	3545	150614219	156886
syndip	chr8	0	2183	146242688	150558
syndip	chr11	0	1837	135125485	191052
syndip	chr10	0	3727	134723423	150431
syndip	chr12	0	3019	133322669	138271
syndip	chr13	0	4119301	113563195	108807
syndip	chr14	0	2510	101159346	153079
syndip	chr15	0	6106	99749463	159619
syndip	chr16	0	3666	96327872	129776
syndip	chr17	0	2260	84237411	92961
syndip	chr18	0	163949	80539281	94185
syndip	chr20	0	91692	66203987	85943
syndip	chr19	0	2210	61703723	86026
syndip	chr22	0	4614	51322042	114474
syndip	chr21	0	5827	45086599	79362
