contig	color	chromosome
haplotype1-0000001	#E6B847	chr15
haplotype1-0000002	#E69F00	chr1
haplotype1-0000003	#E6B847	chr15
haplotype1-0000004	#00B28C	chr17
haplotype1-0000005	#8C564B	chrY
haplotype1-0000006	#567DE9	chr16
haplotype1-0000007	#E69F00	chr1
haplotype1-0000008	#E6C47F	chr22
haplotype1-0000009	#CC79A7	chr4
haplotype1-0000010	#1A7FBA	chr12
haplotype1-0000011	#D57533	chr13
haplotype1-0000012	#338CC2	chr19
haplotype1-0000013	#CCA0BF	chr18
haplotype1-0000014	#737373	chr14
haplotype1-0000015	#56B4E9	chr2
haplotype1-0000016	#00A880	chr10
haplotype1-0000017	#0072B2	chr5
haplotype1-0000018	#808080	chr21
haplotype1-0000019	#D55E00	chr6
haplotype1-0000020	#666666	chr7
haplotype1-0000021	#E6AB23	chr8
haplotype1-0000022	#D57533	chr13
haplotype1-0000023	#CC8DB3	chr11
haplotype1-0000024	#5699E9	chr9
haplotype1-0000025	#D58C66	chr20
haplotype1-0000026	#009E73	chr3
haplotype1-0000027	#E69F00	chr1
haplotype1-0000028	#E69F00	chr1
haplotype1-0000029	#00B28C	chr17
haplotype1-0000030	#00B28C	chr17
haplotype1-0000031	#CC79A7	chr4
haplotype1-0000032	#CC79A7	chr4
haplotype1-0000033	#E69F00	chr1
haplotype1-0000034	#00B28C	chr17
haplotype1-0000035	#00B28C	chr17
haplotype1-0000036	#00B28C	chr17
haplotype1-0000037	#00B28C	chr17
haplotype1-0000038	#00B28C	chr17
haplotype1-0000039	#E69F00	chr1
haplotype1-0000040	#CC79A7	chr4
haplotype1-0000041	#CC79A7	chr4
haplotype1-0000042	#CC79A7	chr4
haplotype1-0000043	#CC79A7	chr4
haplotype1-0000044	#00B28C	chr17
haplotype1-0000045	#00B28C	chr17
haplotype1-0000046	#808080	chr21
haplotype1-0000047	#CC79A7	chr4
haplotype2-0000048	#E69F00	chr1
haplotype2-0000049	#338CC2	chr19
haplotype2-0000050	#E6AB23	chr8
haplotype2-0000051	#8C564B	chrY
haplotype2-0000052	#E6B847	chr15
haplotype2-0000053	#9467BD	chrX
haplotype2-0000054	#CCA0BF	chr18
haplotype2-0000055	#E6C47F	chr22
haplotype2-0000056	#E6C47F	chr22
haplotype2-0000057	#CC79A7	chr4
haplotype2-0000058	#1A7FBA	chr12
haplotype2-0000059	#D57533	chr13
haplotype2-0000060	#E6C47F	chr22
haplotype2-0000061	#737373	chr14
