#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3197	248384169	227476
syndip	chr2	0	3349	242693935	235984
syndip	chr3	0	29546	201088840	216877
syndip	chr4	0	2622	193572889	213065
syndip	chr5	0	1940	182042928	174260
syndip	chr6	0	26564	172122209	216706
syndip	chr7	0	3478	160565371	198662
syndip	chrX	0	197879	154256856	134055
syndip	chr9	0	4806	150614453	158825
syndip	chr8	0	3152	146256661	162060
syndip	chr11	0	76207	135125311	176782
syndip	chr10	0	3727	134666666	142627
syndip	chr12	0	2990	133312986	139411
syndip	chr13	0	5358381	113563453	112921
syndip	chr14	0	6029	101160042	143939
syndip	chr15	0	7330	99749336	142484
syndip	chr16	0	2267	96327638	122868
syndip	chr17	0	7797	84272854	108903
syndip	chr18	0	164896	80539437	95186
syndip	chr20	0	2628	66207568	94186
syndip	chr19	0	1941	61698365	95294
syndip	chr22	0	308	51322042	94117
syndip	chr21	0	2719	45086161	58951
