contig	color	chromosome
haplotype1-0000001	#CC79A7	chr4
haplotype1-0000002	#D58C66	chr20
haplotype1-0000003	#E69F00	chr1
haplotype1-0000004	#00A880	chr10
haplotype1-0000005	#D55E00	chr6
haplotype1-0000006	#E6B847	chr15
haplotype1-0000007	#E6C47F	chr22
haplotype1-0000008	#CC8DB3	chr11
haplotype1-0000009	#737373	chr14
haplotype1-0000010	#1A7FBA	chr12
haplotype1-0000011	#5699E9	chr9
haplotype1-0000012	#E6B847	chr15
haplotype1-0000013	#CCA0BF	chr18
haplotype1-0000014	#567DE9	chr16
haplotype1-0000015	#009E73	chr3
haplotype1-0000016	#E6B847	chr15
haplotype1-0000017	#56B4E9	chr2
haplotype1-0000018	#8C564B	chrY
haplotype1-0000019	#567DE9	chr16
haplotype1-0000020	#E6AB23	chr8
haplotype1-0000021	#D57533	chr13
haplotype1-0000022	#E6C47F	chr22
haplotype1-0000023	#808080	chr21
haplotype1-0000024	#0072B2	chr5
haplotype1-0000025	#666666	chr7
haplotype1-0000026	#00B28C	chr17
haplotype1-0000027	#E6C47F	chr22
haplotype1-0000028	#338CC2	chr19
haplotype1-0000029	#5699E9	chr9
haplotype1-0000030	#567DE9	chr16
haplotype1-0000031	#E69F00	chr1
haplotype1-0000032	#E6B847	chr15
haplotype1-0000033	#E69F00	chr1
haplotype1-0000034	#666666	chr7
haplotype1-0000035	#CC8DB3	chr11
haplotype1-0000036	#009E73	chr3
haplotype1-0000037	#009E73	chr3
haplotype1-0000038	#E6C47F	chr22
haplotype1-0000039	#00B28C	chr17
haplotype1-0000040	#CCA0BF	chr18
haplotype1-0000041	#D57533	chr13
haplotype1-0000042	#E6C47F	chr22
haplotype1-0000043	#737373	chr14
haplotype1-0000044	#737373	chr14
haplotype1-0000045	#737373	chr14
haplotype1-0000046	#009E73	chr3
haplotype1-0000047	#E6C47F	chr22
haplotype1-0000048	#009E73	chr3
haplotype1-0000049	#009E73	chr3
haplotype1-0000050	#338CC2	chr19
haplotype1-0000051	#338CC2	chr19
haplotype1-0000052	#009E73	chr3
haplotype1-0000053	#808080	chr21
haplotype1-0000054	#CCA0BF	chr18
haplotype1-0000055	#CCA0BF	chr18
haplotype1-0000056	#CCA0BF	chr18
haplotype1-0000057	#0072B2	chr5
haplotype1-0000058	#CCA0BF	chr18
haplotype1-0000059	#CCA0BF	chr18
haplotype1-0000060	#CCA0BF	chr18
haplotype1-0000061	#CCA0BF	chr18
haplotype1-0000062	#8C564B	chrY
haplotype1-0000063	#009E73	chr3
haplotype1-0000064	#009E73	chr3
haplotype1-0000065	#E6AB23	chr8
haplotype1-0000066	#338CC2	chr19
haplotype1-0000067	#CCA0BF	chr18
haplotype1-0000068	#CCA0BF	chr18
haplotype1-0000069	#CCA0BF	chr18
haplotype1-0000070	#CCA0BF	chr18
haplotype1-0000071	#CCA0BF	chr18
haplotype1-0000072	#567DE9	chr16
haplotype1-0000073	#5699E9	chr9
haplotype1-0000074	#567DE9	chr16
haplotype1-0000075	#567DE9	chr16
haplotype1-0000076	#009E73	chr3
haplotype1-0000077	#009E73	chr3
haplotype1-0000078	#009E73	chr3
haplotype1-0000079	#009E73	chr3
haplotype1-0000080	#00B28C	chr17
haplotype1-0000081	#D57533	chr13
haplotype1-0000082	#E6C47F	chr22
haplotype1-0000083	#009E73	chr3
haplotype1-0000084	#0072B2	chr5
