Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	0.98349	108.25670000000001	1.8174000000000001	175	5	2	1	175	5	188	5
chr10	Paternal	Maternal	1.0	77.72004	0	163	0	3	0	163	0	163	0
chr11	Maternal	Paternal	1.0	525.5949400000001	0	697	0	6	0	697	0	723	0
chr12	Paternal	Maternal	0.97675	118.82646000000001	2.82884	243	7	3	1	243	7	249	7
chr13	Paternal	Maternal	0.96633	203.26209	7.083360000000001	281	24	3	1	281	24	318	24
chr14	Paternal	Maternal	0.98714	291.68665	3.7996000000000003	489	10	6	1	489	10	556	10
chr15	Maternal	Paternal	1.0	502.66707999999994	0	949	0	30	0	949	0	1309	0
chr16	Paternal	Maternal	1.0	166.95004	0	363	0	6	0	363	0	547	0
chr17	Paternal	Maternal	1.0	14.15908	0	52	0	1	0	52	0	139	0
chr18	Maternal	Paternal	1.0	121.85902000000002	0	218	0	3	0	218	0	232	0
chr19	Maternal	Paternal	1.0	452.52672	0	595	0	7	0	595	0	645	0
chr2	Paternal	Maternal	1.0	400.75455	0	632	0	6	0	632	0	638	0
chr20	Paternal	Maternal	1.0	942.2330099999999	0	1267	0	9	0	1267	0	1404	0
chr21	Maternal	Paternal	1.0	42.94152	0	95	0	2	0	95	0	112	0
chr22	Paternal	Maternal	1.0	64.88686	0	92	0	2	0	92	0	104	0
chr3	Maternal	Paternal	1.0	11.14204	0	26	0	1	0	26	0	27	0
chr4	Maternal	Paternal	0.90493	138.35822000000002	14.535509999999999	237	51	4	1	237	51	238	51
chr5	Paternal	Maternal	0.58086	20.93802	15.108839999999999	93	51	1	2	93	51	104	56
chr6	Maternal	Paternal	1.0	361.76456999999994	0	485	0	5	0	485	0	493	0
chr7	Paternal	Maternal	1.0	595.61162	0	811	0	9	0	811	0	863	0
chr8	Paternal	Maternal	1.0	262.54468	0	410	0	7	0	410	0	523	0
chr9	Paternal	Maternal	0.96497	144.13097	5.232200000000001	230	20	3	1	230	20	239	22
