Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	118.64576	0	184	0	3	0	184	0	197	0
chr10	Paternal	Maternal	1.0	99.76327	0	176	0	4	0	176	0	182	0
chr11	Paternal	Maternal	1.0	503.97495999999995	0	695	0	6	0	695	0	723	0
chr12	Paternal	Maternal	1.0	99.87419	0	243	0	3	0	243	0	245	0
chr13	Maternal	Paternal	1.0	209.86553999999998	0	286	0	4	0	286	0	347	0
chr14	Maternal	Paternal	1.0	291.45878	0	479	0	5	0	479	0	537	0
chr15	Maternal	Paternal	0.99542	547.8915600000001	2.52136	1035	9	32	1	1038	6	1895	19
chr16	Maternal	Paternal	1.0	145.24865	0	307	0	6	0	307	0	436	0
chr17	Paternal	Maternal	1.0	5.4182500000000005	0	25	0	1	0	25	0	139	0
chr18	Maternal	Paternal	1.0	124.06526	0	190	0	2	0	190	0	190	0
chr19	Paternal	Maternal	1.0	443.59558000000004	0	600	0	7	0	600	0	639	0
chr2	Paternal	Maternal	0.97821	387.60065000000003	8.63284	627	37	6	1	627	37	650	37
chr20	Maternal	Paternal	0.99443	966.07931	5.41405	1251	19	8	1	1251	19	1378	25
chr21	Paternal	Maternal	0.74464	56.239509999999996	19.28598	111	21	2	1	111	21	113	21
chr22	Paternal	Maternal	1.0	57.38751	0	89	0	2	0	89	0	104	0
chr3	Maternal	Paternal	1.0	20.21852	0	28	0	1	0	28	0	28	0
chr4	Maternal	Paternal	1.0	122.53126999999999	0	205	0	3	0	205	0	207	0
chr5	Paternal	Maternal	1.0	85.71584	0	172	0	2	0	172	0	186	0
chr6	Maternal	Paternal	1.0	279.50839	0	372	0	3	0	372	0	373	0
chr7	Maternal	Paternal	1.0	487.87316	0	618	0	5	0	618	0	650	0
chr8	Paternal	Maternal	1.0	292.23558	0	547	0	8	0	547	0	648	0
chr9	Paternal	Maternal	1.0	51.05068	0	113	0	3	0	113	0	119	0
