contig	color	chromosome
haplotype1-0000001	#D55E00	chr6
haplotype1-0000002	#CCA0BF	chr18
haplotype1-0000003	#E69F00	chr1
haplotype1-0000004	#338CC2	chr19
haplotype1-0000005	#5699E9	chr9
haplotype1-0000006	#567DE9	chr16
haplotype1-0000007	#009E73	chr3
haplotype1-0000008	#808080	chr21
haplotype1-0000009	#8C564B	chrY
haplotype1-0000010	#666666	chr7
haplotype1-0000011	#737373	chr14
haplotype1-0000012	#D58C66	chr20
haplotype1-0000013	#CC79A7	chr4
haplotype1-0000014	#D58C66	chr20
haplotype1-0000015	#E6C47F	chr22
haplotype1-0000016	#D57533	chr13
haplotype1-0000017	#E6AB23	chr8
haplotype1-0000018	#00A880	chr10
haplotype1-0000019	#E6B847	chr15
haplotype1-0000020	#737373	chr14
haplotype1-0000021	#00B28C	chr17
haplotype1-0000022	#808080	chr21
haplotype1-0000023	#CC8DB3	chr11
haplotype1-0000024	#1A7FBA	chr12
haplotype1-0000025	#0072B2	chr5
haplotype1-0000026	#56B4E9	chr2
haplotype1-0000027	#CC79A7	chr4
haplotype1-0000028	#56B4E9	chr2
haplotype1-0000029	#E69F00	chr1
haplotype1-0000030	#CC8DB3	chr11
haplotype1-0000031	#808080	chr21
haplotype1-0000032	#D57533	chr13
haplotype1-0000033	#808080	chr21
haplotype1-0000034	#808080	chr21
haplotype1-0000035	#808080	chr21
haplotype1-0000036	#808080	chr21
haplotype1-0000037	#009E73	chr3
haplotype1-0000038	#009E73	chr3
haplotype1-0000039	#338CC2	chr19
haplotype1-0000040	#9467BD	chrX
haplotype1-0000041	#E69F00	chr1
haplotype1-0000042	#E69F00	chr1
haplotype1-0000043	#E69F00	chr1
haplotype1-0000044	#00B28C	chr17
haplotype1-0000045	#00B28C	chr17
haplotype1-0000046	#00B28C	chr17
haplotype1-0000047	#00B28C	chr17
haplotype1-0000048	#00B28C	chr17
haplotype1-0000049	#E69F00	chr1
haplotype1-0000050	#E69F00	chr1
haplotype1-0000051	#808080	chr21
haplotype1-0000052	#D57533	chr13
haplotype1-0000053	#D57533	chr13
haplotype1-0000054	#CC79A7	chr4
haplotype1-0000055	#338CC2	chr19
haplotype1-0000056	#5699E9	chr9
haplotype1-0000057	#E69F00	chr1
haplotype1-0000058	#E69F00	chr1
haplotype1-0000059	#1A7FBA	chr12
haplotype1-0000060	#E69F00	chr1
haplotype2-0000061	#D55E00	chr6
haplotype2-0000062	#CCA0BF	chr18
haplotype2-0000063	#E69F00	chr1
haplotype2-0000064	#338CC2	chr19
haplotype2-0000065	#5699E9	chr9
haplotype2-0000066	#E6C47F	chr22
haplotype2-0000067	#E6C47F	chr22
haplotype2-0000068	#567DE9	chr16
haplotype2-0000069	#666666	chr7
haplotype2-0000070	#E69F00	chr1
haplotype2-0000071	#E6C47F	chr22
haplotype2-0000072	#9467BD	chrX
haplotype2-0000073	#0072B2	chr5
haplotype2-0000074	#CC79A7	chr4
haplotype2-0000075	#E6C47F	chr22
haplotype2-0000076	#D57533	chr13
haplotype2-0000077	#E6AB23	chr8
haplotype2-0000078	#00A880	chr10
haplotype2-0000079	#D58C66	chr20
haplotype2-0000080	#009E73	chr3
haplotype2-0000081	#737373	chr14
haplotype2-0000082	#00B28C	chr17
haplotype2-0000083	#E6B847	chr15
haplotype2-0000084	#CC8DB3	chr11
haplotype2-0000085	#1A7FBA	chr12
haplotype2-0000086	#808080	chr21
haplotype2-0000087	#56B4E9	chr2
haplotype2-0000088	#009E73	chr3
haplotype2-0000089	#338CC2	chr19
haplotype2-0000090	#E6AB23	chr8
haplotype2-0000091	#D57533	chr13
haplotype2-0000092	#5699E9	chr9
haplotype2-0000093	#5699E9	chr9
haplotype2-0000094	#808080	chr21
haplotype2-0000095	#808080	chr21
haplotype2-0000096	#737373	chr14
haplotype2-0000097	#5699E9	chr9
haplotype2-0000098	#5699E9	chr9
haplotype2-0000099	#5699E9	chr9
haplotype2-0000100	#5699E9	chr9
haplotype2-0000101	#E69F00	chr1
haplotype2-0000102	#E69F00	chr1
haplotype2-0000103	#E6C47F	chr22
haplotype2-0000104	#737373	chr14
haplotype2-0000105	#9467BD	chrX
haplotype2-0000106	#567DE9	chr16
haplotype2-0000107	#737373	chr14
haplotype2-0000108	#737373	chr14
haplotype2-0000109	#737373	chr14
haplotype2-0000110	#737373	chr14
haplotype2-0000111	#737373	chr14
haplotype2-0000112	#D57533	chr13
unassigned-0000113	#D57533	chr13
unassigned-0000114	#D57533	chr13
unassigned-0000115	#D57533	chr13
unassigned-0000116	#D57533	chr13
unassigned-0000117	#D57533	chr13
unassigned-0000118	#D57533	chr13
unassigned-0000119	#D57533	chr13
unassigned-0000120	#D57533	chr13
unassigned-0000121	#D57533	chr13
unassigned-0000122	#666666	chr7
unassigned-0000123	#E6C47F	chr22
unassigned-0000124	#666666	chr7
unassigned-0000126	#808080	chr21
unassigned-0000127	#D57533	chr13
unassigned-0000128	#E6C47F	chr22
unassigned-0000129	#D57533	chr13
unassigned-0000130	#00B28C	chr17
unassigned-0000131	#00B28C	chr17
unassigned-0000132	#D57533	chr13
unassigned-0000133	#E6C47F	chr22
unassigned-0000134	#D57533	chr13
unassigned-0000135	#808080	chr21
unassigned-0000136	#D57533	chr13
unassigned-0000137	#D57533	chr13
unassigned-0000138	#D57533	chr13
unassigned-0000139	#D57533	chr13
unassigned-0000140	#D57533	chr13
unassigned-0000141	#D57533	chr13
unassigned-0000142	#E6B847	chr15
unassigned-0000143	#D57533	chr13
unassigned-0000144	#D57533	chr13
unassigned-0000145	#D57533	chr13
unassigned-0000146	#D57533	chr13
unassigned-0000147	#D57533	chr13
unassigned-0000148	#00B28C	chr17
unassigned-0000149	#E69F00	chr1
unassigned-0000150	#E69F00	chr1
unassigned-0000151	#D57533	chr13
unassigned-0000152	#1A7FBA	chr12
unassigned-0000153	#1A7FBA	chr12
unassigned-0000154	#808080	chr21
unassigned-0000155	#666666	chr7
unassigned-0000156	#666666	chr7
unassigned-0000157	#E6C47F	chr22
unassigned-0000158	#737373	chr14
unassigned-0000159	#737373	chr14
unassigned-0000160	#737373	chr14
unassigned-0000161	#E6B847	chr15
unassigned-0000162	#E6C47F	chr22
unassigned-0000163	#E6C47F	chr22
unassigned-0000164	#E6C47F	chr22
unassigned-0000165	#737373	chr14
unassigned-0000166	#E6C47F	chr22
unassigned-0000167	#808080	chr21
unassigned-0000168	#808080	chr21
unassigned-0000169	#808080	chr21
unassigned-0000170	#1A7FBA	chr12
unassigned-0000171	#D57533	chr13
