#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3197	248384073	242943
syndip	chr2	0	3349	242693785	231688
syndip	chr3	0	2605	201088840	196400
syndip	chr4	0	43375	193572889	212242
syndip	chr5	0	1495	182043978	181129
syndip	chr6	0	6733	172124348	205913
syndip	chr7	0	3799	160563740	183945
syndip	chrX	0	5957	154257227	136131
syndip	chr9	0	3545	150614641	145358
syndip	chr8	0	3641	146257038	160817
syndip	chr11	0	2529	135125311	189911
syndip	chr10	0	2536	134753901	148520
syndip	chr12	0	7032	133322489	134726
syndip	chr13	0	5125141	113563160	116253
syndip	chr14	0	2816962	101160009	123471
syndip	chr15	0	3258	99750555	148754
syndip	chr16	0	2565	96326912	130520
syndip	chr17	0	95524	84237411	121908
syndip	chr18	0	164088	80539437	96546
syndip	chr20	0	2627	66207314	95586
syndip	chr19	0	2334	61703957	91390
syndip	chr22	0	4614	51319796	96652
syndip	chr21	0	2709	45086161	58728
