contig	color	chromosome
haplotype1-0000001	#E6C47F	chr22
haplotype1-0000002	#737373	chr14
haplotype1-0000003	#567DE9	chr16
haplotype1-0000004	#CCA0BF	chr18
haplotype1-0000005	#666666	chr7
haplotype1-0000006	#338CC2	chr19
haplotype1-0000007	#00A880	chr10
haplotype1-0000008	#D55E00	chr6
haplotype1-0000009	#9467BD	chrX
haplotype1-0000010	#808080	chr21
haplotype1-0000011	#1A7FBA	chr12
haplotype1-0000012	#D58C66	chr20
haplotype1-0000013	#D57533	chr13
haplotype1-0000014	#CC8DB3	chr11
haplotype1-0000015	#E69F00	chr1
haplotype1-0000016	#009E73	chr3
haplotype1-0000017	#5699E9	chr9
haplotype1-0000018	#E69F00	chr1
haplotype1-0000019	#E6AB23	chr8
haplotype1-0000020	#E6B847	chr15
haplotype1-0000021	#CC79A7	chr4
haplotype1-0000022	#E6B847	chr15
haplotype1-0000023	#00B28C	chr17
haplotype1-0000024	#0072B2	chr5
haplotype1-0000025	#567DE9	chr16
haplotype1-0000026	#56B4E9	chr2
haplotype1-0000027	#9467BD	chrX
haplotype1-0000028	#9467BD	chrX
haplotype1-0000029	#9467BD	chrX
haplotype1-0000030	#737373	chr14
haplotype1-0000031	#E6C47F	chr22
haplotype1-0000032	#E6C47F	chr22
haplotype1-0000033	#1A7FBA	chr12
haplotype1-0000034	#9467BD	chrX
haplotype1-0000035	#9467BD	chrX
haplotype1-0000036	#9467BD	chrX
haplotype1-0000037	#9467BD	chrX
haplotype1-0000038	#9467BD	chrX
haplotype1-0000039	#9467BD	chrX
haplotype1-0000040	#567DE9	chr16
haplotype1-0000041	#9467BD	chrX
haplotype1-0000042	#9467BD	chrX
haplotype1-0000043	#9467BD	chrX
haplotype1-0000044	#E6C47F	chr22
haplotype1-0000045	#E6C47F	chr22
haplotype1-0000046	#E6C47F	chr22
haplotype1-0000047	#D57533	chr13
haplotype1-0000048	#D57533	chr13
haplotype1-0000049	#E6C47F	chr22
haplotype1-0000050	#E6C47F	chr22
haplotype1-0000051	#E6C47F	chr22
haplotype1-0000052	#E6C47F	chr22
haplotype1-0000053	#E6C47F	chr22
haplotype1-0000054	#9467BD	chrX
haplotype1-0000055	#E6C47F	chr22
haplotype1-0000056	#E6C47F	chr22
haplotype1-0000057	#E6C47F	chr22
haplotype1-0000058	#E6C47F	chr22
haplotype1-0000059	#D57533	chr13
haplotype1-0000060	#9467BD	chrX
haplotype1-0000061	#9467BD	chrX
haplotype1-0000062	#9467BD	chrX
haplotype1-0000063	#E6B847	chr15
haplotype1-0000064	#009E73	chr3
haplotype1-0000065	#009E73	chr3
haplotype1-0000066	#9467BD	chrX
haplotype1-0000067	#9467BD	chrX
haplotype1-0000068	#9467BD	chrX
haplotype1-0000069	#9467BD	chrX
haplotype1-0000070	#9467BD	chrX
haplotype1-0000071	#9467BD	chrX
haplotype1-0000072	#9467BD	chrX
haplotype1-0000073	#9467BD	chrX
haplotype1-0000074	#9467BD	chrX
haplotype1-0000075	#9467BD	chrX
haplotype1-0000076	#9467BD	chrX
haplotype1-0000077	#9467BD	chrX
haplotype1-0000078	#00B28C	chr17
haplotype1-0000079	#9467BD	chrX
haplotype1-0000080	#9467BD	chrX
haplotype1-0000081	#9467BD	chrX
haplotype1-0000082	#9467BD	chrX
haplotype1-0000083	#9467BD	chrX
haplotype1-0000084	#1A7FBA	chr12
haplotype1-0000085	#9467BD	chrX
haplotype1-0000086	#9467BD	chrX
haplotype1-0000087	#9467BD	chrX
haplotype1-0000088	#9467BD	chrX
haplotype1-0000089	#666666	chr7
haplotype1-0000090	#9467BD	chrX
haplotype1-0000091	#9467BD	chrX
haplotype1-0000092	#9467BD	chrX
haplotype1-0000093	#9467BD	chrX
haplotype1-0000094	#9467BD	chrX
haplotype1-0000095	#9467BD	chrX
haplotype1-0000096	#9467BD	chrX
haplotype1-0000097	#9467BD	chrX
haplotype1-0000098	#9467BD	chrX
haplotype1-0000099	#9467BD	chrX
haplotype1-0000100	#9467BD	chrX
haplotype1-0000101	#9467BD	chrX
haplotype1-0000102	#00A880	chr10
haplotype1-0000103	#9467BD	chrX
haplotype1-0000104	#9467BD	chrX
haplotype1-0000105	#9467BD	chrX
haplotype1-0000106	#9467BD	chrX
haplotype1-0000107	#9467BD	chrX
haplotype1-0000108	#9467BD	chrX
haplotype1-0000109	#9467BD	chrX
haplotype1-0000110	#9467BD	chrX
haplotype1-0000111	#9467BD	chrX
haplotype1-0000112	#9467BD	chrX
haplotype1-0000113	#9467BD	chrX
haplotype1-0000114	#9467BD	chrX
haplotype1-0000115	#9467BD	chrX
haplotype1-0000116	#9467BD	chrX
haplotype1-0000117	#9467BD	chrX
haplotype1-0000118	#9467BD	chrX
haplotype1-0000119	#9467BD	chrX
haplotype1-0000120	#9467BD	chrX
haplotype1-0000121	#9467BD	chrX
haplotype1-0000122	#9467BD	chrX
haplotype1-0000123	#9467BD	chrX
haplotype1-0000124	#9467BD	chrX
haplotype1-0000125	#9467BD	chrX
haplotype1-0000126	#9467BD	chrX
haplotype1-0000127	#E69F00	chr1
haplotype1-0000128	#9467BD	chrX
haplotype1-0000129	#9467BD	chrX
haplotype1-0000130	#9467BD	chrX
haplotype1-0000131	#9467BD	chrX
haplotype1-0000132	#9467BD	chrX
haplotype1-0000133	#9467BD	chrX
haplotype1-0000134	#9467BD	chrX
haplotype1-0000135	#9467BD	chrX
haplotype1-0000136	#9467BD	chrX
haplotype1-0000137	#9467BD	chrX
haplotype1-0000138	#9467BD	chrX
haplotype1-0000139	#9467BD	chrX
haplotype1-0000140	#9467BD	chrX
haplotype1-0000141	#9467BD	chrX
haplotype1-0000142	#9467BD	chrX
haplotype1-0000143	#9467BD	chrX
