File name::assembly/qc/phased_hprc/NA20809/T2T_contigs.haplotype2.paf, l.n::175
NA20809#2#CM094349.1	243321920	3003	243310582	+	chr2	242696752	3355	242693068
NA20809#2#CM094350.1	182971133	8401	182962270	+	chr5	182045439	2300	182043924
NA20809#2#CM094351.1	172144193	103429	172127843	+	chr6	172126628	2882	172119011
NA20809#2#CM094352.1	160843719	2633	160837277	+	chr7	160567428	3834	160565222
NA20809#2#CM094353.1	148168121	146845	148161918	+	chr8	146259331	2068	146256728
NA20809#2#CM094354.1	135633867	2788	135628232	+	chr11	135127769	1725	135125193
NA20809#2#CM094355.1	133664368	5065	133658498	+	chr12	133324548	4043	133322219
NA20809#2#CM094356.1	67155433	7687	67151185	+	chr20	66210255	3706	66205570
NA20809#2#JBIREA010000005.1	60908035	378	60901792	+	chr19	61707364	4582	61703631
NA20809#2#JBIREA010000010.1	97145756	1215997	97141036	+	chr14	101161492	3373069	101159045
NA20809#2#JBIREA010000051.1	135497605	2239	135497457	+	chr10	134758134	2504	134272265
