sample	category	subcategory	var_type	count	percentage
T2T04	total	all_variants	all	5290059	100.0
T2T04	variant_type	DEL	DEL	596890	11.283238996011198
T2T04	variant_type	INS	INS	509571	9.63261468350353
T2T04	variant_type	MNV	MNV	2082	0.039356838931286026
T2T04	variant_type	SNV	SNV	4181516	79.04478948155399
T2T04	ti_tv	transitions	SNV	2640809	1.7140241460576215
T2T04	ti_tv	transversions	SNV	1540707	1.7140241460576215
T2T04	zygosity	HET	all	3791726	71.67644065973555
T2T04	zygosity	HOM_ALT	all	1498333	28.32355934026445
T2T04	zygosity	HET	DEL	428725	71.82646718825914
T2T04	zygosity	HOM_ALT	DEL	168165	28.17353281174086
T2T04	zygosity	HET	INS	368466	72.30905997397811
T2T04	zygosity	HOM_ALT	INS	141105	27.690940026021888
T2T04	zygosity	HET	MNV	2082	100.0
T2T04	zygosity	HET	SNV	2992453	71.56382996023451
T2T04	zygosity	HOM_ALT	SNV	1189063	28.436170039765486
T2T04	haplotype	both	all	1498333	28.32355934026445
T2T04	haplotype	haplotype1	all	1935750	36.59221948186211
T2T04	haplotype	haplotype2	all	1855976	35.084221177873445
T2T04	haplotype	both	DEL	168165	28.17353281174086
T2T04	haplotype	haplotype1	DEL	208135	34.86990902846421
T2T04	haplotype	haplotype2	DEL	220590	36.95655815979494
T2T04	haplotype	both	INS	141105	27.690940026021888
T2T04	haplotype	haplotype1	INS	179437	35.21334612840998
T2T04	haplotype	haplotype2	INS	189029	37.095713845568135
T2T04	haplotype	haplotype1	MNV	1047	50.28818443804035
T2T04	haplotype	haplotype2	MNV	1035	49.711815561959654
T2T04	haplotype	both	SNV	1189063	28.436170039765486
T2T04	haplotype	haplotype1	SNV	1547131	36.99928447003431
T2T04	haplotype	haplotype2	SNV	1445322	34.5645454902002
T2T04	phasing	phased	all	5290059	100.0
T2T04	phasing	phased	DEL	596890	100.0
T2T04	phasing	phased	INS	509571	100.0
T2T04	phasing	phased	MNV	2082	100.0
T2T04	phasing	phased	SNV	4181516	100.0
T2T04	allelic	biallelic	all	4941934	93.41926054132855
T2T04	allelic	multiallelic	all	348125	6.580739458671444
