chrom	length	bases	mean	min	max
chr1	248387328	8133557667	32.75	0	5747
chr1_region	248387328	8133557667	32.75	0	5747
chr2	242696752	8116373248	33.44	0	5852
chr2_region	242696752	8116373248	33.44	0	5852
chr3	201105948	6763247681	33.63	0	3078
chr3_region	201105948	6763247681	33.63	0	3078
chr4	193574945	6492603494	33.54	0	7314
chr4_region	193574945	6492603494	33.54	0	7314
chr5	182045439	6191378593	34.01	0	13841
chr5_region	182045439	6191378593	34.01	0	13841
chr6	172126628	5802708230	33.71	0	7182
chr6_region	172126628	5802708230	33.71	0	7182
chr7	160567428	5327172796	33.18	0	3519
chr7_region	160567428	5327172796	33.18	0	3519
chrX	154259566	2577931704	16.71	0	1623
chrX_region	154259566	2577931704	16.71	0	1623
chr9	150617247	4493601026	29.83	0	2194
chr9_region	150617247	4493601026	29.83	0	2194
chr8	146259331	4847090525	33.14	0	3985
chr8_region	146259331	4847090525	33.14	0	3985
chr11	135127769	4468253250	33.07	0	3453
chr11_region	135127769	4468253250	33.07	0	3453
chr10	134758134	4477164255	33.22	0	57481
chr10_region	134758134	4477164255	33.22	0	57481
chr12	133324548	4519153128	33.90	0	3349
chr12_region	133324548	4519153128	33.90	0	3349
chr13	113566686	3626278008	31.93	0	9676
chr13_region	113566686	3626278008	31.93	0	9676
chr14	101161492	3396556723	33.58	0	3432
chr14_region	101161492	3396556723	33.58	0	3432
chr15	99753195	3340410032	33.49	0	7385
chr15_region	99753195	3340410032	33.49	0	7385
chr16	96330374	3023007719	31.38	0	2033
chr16_region	96330374	3023007719	31.38	0	2033
chr17	84276897	2836156181	33.65	0	4964
chr17_region	84276897	2836156181	33.65	0	4964
chr18	80542538	2648415647	32.88	0	1526
chr18_region	80542538	2648415647	32.88	0	1526
chr20	66210255	2184906989	33.00	0	2725
chr20_region	66210255	2184906989	33.00	0	2725
chrY	62460029	760410242	12.17	0	2280
chrY_region	62460029	760410242	12.17	0	2280
chr19	61707364	2036740599	33.01	0	1298
chr19_region	61707364	2036740599	33.01	0	1298
chr22	51324926	1759356962	34.28	0	3347
chr22_region	51324926	1759356962	34.28	0	3347
chr21	45090682	1594106320	35.35	0	5068
chr21_region	45090682	1594106320	35.35	0	5068
chrM	16569	40855355	2465.77	1	5010
chrM_region	16569	40855355	2465.77	1	5010
total	3117292070	99457436374	31.91	0	57481
total_region	3117292070	99457436374	31.91	0	57481
