/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7519531 (qual: 192) for base C, percentile 10, 1955343 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3003111 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 31 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	195938	50951	192384	46095
chr2	197669	50931	195741	46584
chr3	171858	40375	164369	36705
chr4	172263	40628	167933	37098
chr5	149801	37536	146473	34377
chr6	162549	37165	143725	33595
chr7	164211	38901	145182	34693
chr8	123892	28769	120828	26153
chr9	108200	28222	106727	25734
chr10	115911	30378	114670	27558
chr11	153874	28748	111056	25158
chr12	117515	30892	115074	28061
chr13	94217	23606	90958	21246
chr14	129630	23864	101007	20901
chr15	85736	20174	75261	17207
chr16	89209	21586	80759	18742
chr17	71363	21894	70254	19610
chr18	74984	17317	71435	15672
chr19	63189	19028	58988	16650
chr20	66338	15314	56153	13436
chr21	43594	9829	41517	8832
chr22	64541	10509	49944	9040
