/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7675781 (qual: 196) for base C, percentile 10, 2360177 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3312957 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 7 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	180824	49266	178106	44692
chr2	191294	49743	189270	45444
chr3	174287	41126	169027	37562
chr4	165273	39560	162601	36458
chr5	157115	37800	154146	34615
chr6	158111	37993	147806	34721
chr7	151793	37628	141589	33741
chr8	133460	30093	130747	27461
chr9	111853	27669	110367	25142
chr10	117959	30188	116408	27476
chr11	157127	28683	152527	26187
chr12	104826	29313	102474	26586
chr13	82658	21078	81868	19398
chr14	93492	20811	77871	18562
chr15	108223	24957	92624	20409
chr16	90939	21330	79739	18338
chr17	75587	21186	70444	18809
chr18	76298	16923	71078	15229
chr19	59982	18995	58153	16825
chr20	77829	15877	61149	13744
chr21	40114	9651	39381	8749
chr22	87871	11873	72410	10271
