/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7441406 (qual: 190) for base C, percentile 10, 2009408 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3169612 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 8 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	182036	50034	179304	44716
chr2	184866	49443	181970	44468
chr3	177602	41292	172802	37382
chr4	170744	40850	168472	37290
chr5	149057	37558	145592	34026
chr6	171028	39226	151202	35111
chr7	157213	36458	153946	32634
chr8	140203	31658	137210	28602
chr9	112121	27753	111171	25127
chr10	118280	30766	117048	27625
chr11	167740	29747	164817	26886
chr12	110559	30695	108391	27590
chr13	93536	23515	92077	21398
chr14	92692	20797	81823	18550
chr15	93934	21409	85577	18734
chr16	81656	20869	74289	17814
chr17	84128	23149	77181	20216
chr18	69703	16609	68764	15096
chr19	61037	19123	58551	16737
chr20	57980	14786	49719	12689
chr21	44113	10238	42967	9122
chr22	57999	12036	55420	10790
