/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7363281 (qual: 188) for base C, percentile 10, 1944057 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3032513 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 25 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	176230	47289	172791	42276
chr2	172659	46365	170391	41606
chr3	171433	40341	166332	36489
chr4	167982	39344	163357	35811
chr5	144874	35631	142782	32240
chr6	154380	37014	140307	33228
chr7	139691	34508	131824	30733
chr8	124693	29016	122813	26177
chr9	99990	25035	97939	22554
chr10	113636	29579	112279	26556
chr11	134883	24907	90704	21147
chr12	103109	29006	100985	25993
chr13	80239	21024	79495	19134
chr14	84235	20388	78204	18239
chr15	88596	20186	79277	17399
chr16	88549	21091	77429	17948
chr17	79134	20827	0	0
chr18	69762	15930	65894	14276
chr19	62080	18397	57878	15897
chr20	65962	14485	53977	12546
chr21	36083	9109	35495	8182
chr22	71307	11869	53395	9888
