/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7402344 (qual: 189) for base C, percentile 10, 1864945 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 2947990 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 28 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	189542	50442	185557	45685
chr2	185069	48609	182467	44307
chr3	170904	41635	167094	37920
chr4	169471	40634	166279	37361
chr5	147503	36933	145504	33893
chr6	157028	38449	146551	34968
chr7	153567	38052	143415	34076
chr8	125866	28639	123499	26165
chr9	113132	27174	111356	24877
chr10	127280	32610	125891	29733
chr11	157122	29119	111183	25347
chr12	108746	29817	105201	26968
chr13	87972	22457	87285	20786
chr14	98134	21570	82861	19268
chr15	84797	20410	81581	18310
chr16	87528	21330	78889	18538
chr17	81409	22175	75542	19738
chr18	73628	16957	70179	15445
chr19	68146	19208	62520	16898
chr20	64018	14879	55412	13144
chr21	46833	10851	45209	9612
chr22	53797	11955	49726	10682
