Inferred sex: female
Contig assignment summary (538 total):
  hap1 (#1) output      : 90
  hap2 (#2) output      : 37
    of which maternal   : 87
    of which paternal   : 33
    of which sex chrom  : 0 (chrX/Y hardcoded)
    of which unassigned : 7 (original haplotype kept)
  asm-unassigned (#0)   : 411 (combined only)

Per-chromosome PofO assignments:
  Chromosome        HP1→            HP2→
  chr1              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr11             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr13             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr14             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr15             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr16             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr17             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr18             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr19             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr2              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr20             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr21             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr22             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr3              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr4              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr5              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr6              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr7              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr8              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr9              maternal → hap1 (#1)       paternal → hap2 (#2)

Chromosomes without PofO assignment (original labels kept): chr10, chr12, chrX
