Inferred sex: female
Contig assignment summary (731 total):
  hap1 (#1) output      : 79
  hap2 (#2) output      : 99
    of which maternal   : 77
    of which paternal   : 88
    of which sex chrom  : 0 (chrX/Y hardcoded)
    of which unassigned : 13 (original haplotype kept)
  asm-unassigned (#0)   : 553 (combined only)

Per-chromosome PofO assignments:
  Chromosome        HP1→            HP2→
  chr1              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr10             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr11             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr12             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr13             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr14             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr15             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr16             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr17             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr18             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr19             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr2              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr20             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr21             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr22             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr3              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr4              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr5              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr6              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr7              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr8              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr9              paternal → hap2 (#2)       maternal → hap1 (#1)

Chromosomes without PofO assignment (original labels kept): chrX
