Inferred sex: male
  chrX contigs will be forced to maternal (hap1)
  chrY contigs will be forced to paternal (hap2)
Contig assignment summary (2035 total):
  hap1 (#1) output      : 160
  hap2 (#2) output      : 178
    of which maternal   : 155
    of which paternal   : 172
    of which sex chrom  : 21 (chrX/Y hardcoded)
    of which unassigned : 11 (original haplotype kept)
  asm-unassigned (#0)   : 1697 (combined only)

Per-chromosome PofO assignments:
  Chromosome        HP1→            HP2→
  chr1              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr10             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr11             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr12             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr13             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr14             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr15             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr16             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr18             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr19             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr2              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr20             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr21             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr22             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr3              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr4              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr5              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr6              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr7              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr8              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr9              paternal → hap2 (#2)       maternal → hap1 (#1)

Chromosomes without PofO assignment (original labels kept): chr17, chrM, chrX, chrY
