Inferred sex: female
Contig assignment summary (631 total):
  hap1 (#1) output      : 55
  hap2 (#2) output      : 46
    of which maternal   : 53
    of which paternal   : 44
    of which sex chrom  : 0 (chrX/Y hardcoded)
    of which unassigned : 4 (original haplotype kept)
  asm-unassigned (#0)   : 530 (combined only)

Per-chromosome PofO assignments:
  Chromosome        HP1→            HP2→
  chr1              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr10             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr11             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr12             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr13             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr14             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr15             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr16             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr17             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr18             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr19             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr2              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr20             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr21             paternal → hap2 (#2)       maternal → hap1 (#1)
  chr22             maternal → hap1 (#1)       paternal → hap2 (#2)
  chr3              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr4              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr5              paternal → hap2 (#2)       maternal → hap1 (#1)
  chr6              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr7              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr8              maternal → hap1 (#1)       paternal → hap2 (#2)
  chr9              paternal → hap2 (#2)       maternal → hap1 (#1)

Chromosomes without PofO assignment (original labels kept): chrX
