/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7402344 (qual: 189) for base C, percentile 10, 2736182 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3653503 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 10 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	181036	49703	177951	44849
chr2	188005	49809	186439	45353
chr3	185073	43020	178583	39218
chr4	175239	41265	171370	37686
chr5	146571	37159	144914	34069
chr6	168676	37171	145652	33530
chr7	157897	37960	155173	34247
chr8	133556	30418	131310	27672
chr9	115370	28163	114032	25745
chr10	118360	30696	117263	27942
chr11	158910	29664	156572	27134
chr12	109674	30447	107897	27525
chr13	84564	21554	83686	19797
chr14	109351	22056	95458	19735
chr15	101440	22262	93787	19706
chr16	83053	21099	74289	18173
chr17	77340	22038	71837	19388
chr18	72925	16985	70409	15457
chr19	61297	19330	59980	17130
chr20	62809	15055	54145	13219
chr21	41553	9894	40523	8948
chr22	69842	11666	51712	9916
