/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7558594 (qual: 193) for base C, percentile 10, 1382220 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 2592681 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 19 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	181974	47776	178716	43142
chr2	191229	49836	189391	45390
chr3	175341	40665	168814	37013
chr4	170621	40586	166237	37068
chr5	162598	39435	158746	36104
chr6	143970	36298	138103	33002
chr7	152157	38376	143610	34357
chr8	132582	29602	128398	26916
chr9	118707	28397	116596	25838
chr10	121192	31499	119676	28701
chr11	110793	27127	108837	24837
chr12	113603	31323	111415	28379
chr13	90147	22980	87978	20858
chr14	82400	21156	81313	19335
chr15	95733	22363	85241	19485
chr16	88422	21062	79778	18186
chr17	85037	23438	74092	20514
chr18	72768	16564	70563	15053
chr19	65948	20191	62987	17735
chr20	57418	14071	52698	12577
chr21	39218	9295	38611	8447
chr22	72050	12091	59749	10370
