/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7441406 (qual: 190) for base C, percentile 10, 2063363 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3178228 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 12 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	185481	50586	182077	45429
chr2	183704	48919	181907	44365
chr3	179579	42141	174116	38308
chr4	168649	40664	164902	37090
chr5	154875	37539	152799	34169
chr6	158929	39348	150235	35831
chr7	153834	38309	143349	34103
chr8	129633	30483	128100	27827
chr9	121151	31262	119273	28322
chr10	114191	30568	112909	27656
chr11	150491	29519	113133	25824
chr12	109743	30309	107386	27398
chr13	88152	22658	86905	20598
chr14	103423	21575	78334	18903
chr15	96248	21378	86935	18717
chr16	85180	20671	74488	17655
chr17	70062	21090	67291	18741
chr18	74846	16944	69629	15298
chr19	68424	20155	65533	17697
chr20	75775	14792	66897	12899
chr21	46296	10289	45002	9239
chr22	77999	11681	56705	10040
