/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7402344 (qual: 189) for base C, percentile 10, 1814402 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3004522 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 15 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	184785	49107	182240	43956
chr2	188712	49066	186241	44280
chr3	161779	39057	156356	35184
chr4	169710	39767	163625	35973
chr5	149450	35581	145431	32237
chr6	167838	38291	149919	34672
chr7	151440	36118	135538	31880
chr8	133414	30498	131260	27617
chr9	110814	27066	108982	24480
chr10	122362	31314	120728	28046
chr11	148850	29157	112889	25527
chr12	107659	29736	104664	26716
chr13	90135	22482	88822	20480
chr14	93614	20786	84239	18477
chr15	84625	20731	80410	18338
chr16	81350	20728	76748	18193
chr17	91030	22517	78456	19231
chr18	77396	17155	72350	15285
chr19	59718	19136	57322	16635
chr20	67525	14971	57111	13046
chr21	39330	9629	37822	8537
chr22	69502	11744	50261	9940
