/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7558594 (qual: 193) for base C, percentile 10, 1580593 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 2711724 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 11 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	178084	48566	174867	43585
chr2	186130	48537	184102	43934
chr3	172938	40456	165329	36592
chr4	170939	40765	165039	37041
chr5	152434	37530	149849	34143
chr6	167159	38427	152819	34779
chr7	154163	36559	134417	32322
chr8	130013	29626	127429	26916
chr9	109196	26348	107798	23772
chr10	110706	28999	109475	26120
chr11	145745	28327	110005	24735
chr12	107628	29730	104944	26784
chr13	88132	22602	86350	20394
chr14	84326	20798	77791	18669
chr15	86039	20637	77673	17793
chr16	93867	21387	80411	18085
chr17	88416	22647	75962	19549
chr18	68809	16441	65063	14868
chr19	63509	18970	58759	16436
chr20	68083	15201	55638	13074
chr21	38757	9775	38364	8927
chr22	83788	12889	51236	10751
