/mnt/storage3b/projects/no_ngsd/ahthapp1_T2T_ONT/bin/PatMat/patmat/core/variant_processing.py:391: UserWarning: Some variants in strand-seq vcf have .|0, 0|., 1|. or .|1 phased genotype will be interpreted as 1|0, 0|1, 1|0 or 0|1.
  warnings.warn(
#############  Processing chromosome chr1  #############
#############  Processing chromosome chr10  #############
#############  Processing chromosome chr11  #############
#############  Processing chromosome chr12  #############
#############  Processing chromosome chr13  #############
#############  Processing chromosome chr14  #############
#############  Processing chromosome chr15  #############
#############  Processing chromosome chr16  #############
#############  Processing chromosome chr17  #############
#############  Processing chromosome chr18  #############
#############  Processing chromosome chr19  #############
#############  Processing chromosome chr2  #############
#############  Processing chromosome chr20  #############
#############  Processing chromosome chr21  #############
#############  Processing chromosome chr22  #############
#############  Processing chromosome chr3  #############
#############  Processing chromosome chr4  #############
#############  Processing chromosome chr5  #############
#############  Processing chromosome chr6  #############
#############  Processing chromosome chr7  #############
#############  Processing chromosome chr8  #############
#############  Processing chromosome chr9  #############
[bam_sort_core] merging from 0 files and 8 in-memory blocks...
> discarded 3 contigs with zero aligned reads
> parsed 1 base modification(s). Base modifications other than 'C:m' will be counted as 'N_other'.
> producing phased output
> attempting to sample at least 10042 reads
> calculating threshold value with probabilities aligned to reference bases cytosines
> setting threshold 0.7714844 (qual: 197) for base C, percentile 10, 2377470 total probabilites
> using optimized genome workers, combining strands at CpG motifs
> Done, processed 3421731 rows.
[1] "Performing differential methylation analysis using DSS version: 2.48.0"
Smoothing ...
Estimating dispersion for each CpG site, this will take a while ...
Computing test statistics ...
[bam_sort_core] merging from 11 files and 8 in-memory blocks...
################## Assigning PofO to Variants ##################
############ Preparing PofO Tagged Alignment File #############
Per chromosome info for the variants with "PASS" or "." in FILTER column in the input vcf file:
chrom	all_het_snvs	all_het_indels	pofo_assigned_het_snvs	pofo_assigned_het_indels
chr1	176909	47896	172817	43175
chr2	175620	46388	173746	42230
chr3	170776	40648	165521	36995
chr4	161642	39410	159389	36212
chr5	148132	36179	145491	32991
chr6	171943	38869	154440	35422
chr7	159052	36302	132794	31958
chr8	122326	28366	120651	25807
chr9	96275	24633	94470	22362
chr10	116166	30822	114619	27958
chr11	150783	27126	98786	23335
chr12	101296	29004	98610	26245
chr13	78693	20640	77910	18965
chr14	93901	20957	78608	18774
chr15	80985	19082	72333	16636
chr16	86124	20411	75623	17529
chr17	67999	20025	59800	17478
chr18	61167	15170	58255	13763
chr19	58299	18819	56956	16635
chr20	64274	13682	52105	11810
chr21	44202	10224	41701	9117
chr22	76638	12423	50213	10648
